station,horizon,DM,p_raw,BH_global,Bonferroni_global,family_size
Madrid,1,1.019,0.3081,,1.0,36
Madrid,6,1.457,0.1452,,1.0,36
Madrid,12,2.184,0.0289,,1.0,36
Madrid,24,0.552,0.5811,,1.0,36
porrlaoise co laois,1,1.0464975498340017,0.296528700760954,,1.0,36
porrlaoise co laois,6,0.5726985721596219,0.5674585560477707,,1.0,36
porrlaoise co laois,12,2.2861519731338795,0.0232381376834659,,0.8365729566047724,36
porrlaoise co laois,24,,,,,36
Ringsend dublin,1,1.3769950827330382,0.1699798563065311,,1.0,36
Ringsend dublin,6,-0.4107561393576731,0.6816701701901386,,1.0,36
Ringsend dublin,12,0.4289415796974735,0.6684054350332496,,1.0,36
Ringsend dublin,24,0.5115697360534918,0.6094896603531732,,1.0,36
Birr co offlay,1,3.708853552514331,0.0002667982303148,,0.0096047362913328,36
Birr co offlay,6,0.952661316632683,0.3418621572923551,,1.0,36
Birr co offlay,12,1.6944071784375512,0.0916774599813057,,1.0,36
Birr co offlay,24,0.2082439560050981,0.8352412834784297,,1.0,36
Dundalk Co Louth,1,-0.9970645677767678,0.3204291911478218,,1.0,36
Dundalk Co Louth,6,-0.844453409314815,0.3998365451789101,,1.0,36
Dundalk Co Louth,12,-0.1276157870838426,0.8986335820011913,,1.0,36
Dundalk Co Louth,24,,,,,36
henry street Limerick,1,-1.1221794201209776,0.2631117167624251,,1.0,36
henry street Limerick,6,-1.9897316209910456,0.0479627422213701,,1.0,36
henry street Limerick,12,-0.8625572586409285,0.3893987838361266,,1.0,36
henry street Limerick,24,,,,,36
Dublin Airport,1,1.9020886201430405,0.0591564100930614,,1.0,36
Dublin Airport,6,-0.6706141953820238,0.5035404816025597,,1.0,36
Dublin Airport,12,-0.7130472774446268,0.4769704215109248,,1.0,36
Dublin Airport,24,2.324122389675177,0.0215175821820621,,0.7746329585542355,36
edenderry co offlay,1,-0.101850844366492,0.918978137177408,,1.0,36
edenderry co offlay,6,0.9191538298505236,0.3591334994598906,,1.0,36
edenderry co offlay,12,-0.3485220402514521,0.7278184628726105,,1.0,36
edenderry co offlay,24,0.8703374190181403,0.3851699695621574,,1.0,36
Pearse street dublin,1,2.0968028304612227,0.0372024065681557,,1.0,36
Pearse street dublin,6,1.80743151920532,0.072119278505072,,1.0,36
Pearse street dublin,12,2.494002116450474,0.0133989722664569,,0.4823630015924484,36
Pearse street dublin,24,0.8012651949204724,0.4238795099472319,,1.0,36
