category,path,exists,size_bytes,sha256
madrid_predictions,results/e2_met_madrid_pm10/predictions/predictions_all_models.csv,True,2629099,e4a7edd656385df4f160176f0952a410848dc456cd5842981f191124189ea85c
madrid_predictions,results/e2_met_madrid_pm10/predictions/predictions_lags_only.csv,True,1912227,32fd31ecd537878f13a56a0a76b2a70c36a6698363f2c33445dbb70dc23ae04f
madrid_predictions,results/e2_met_madrid_pm10/predictions/predictions_lags_meteo.csv,True,718370,f56c1e988a9636230c0c05434eec4e3b056c89ccc0a6b8174560274227ff43af
madrid_metrics,results/e2_met_madrid_pm10/metrics/metrics_all_models.csv,True,12897,8ba9d94a4dd194c1ee1c07c513b0d714aaaa129032207bd74dd46a29c21a22ba
madrid_metrics,results/e2_met_madrid_pm10/metrics/hstar_summary.csv,True,167,31cc1f67e67af54ac5f1d8d6f1b8c855bb400d23a93b01dfbb5b4a007449a71b
madrid_stats,results/e2_met_madrid_pm10/stats/dm_lags_meteo_vs_lags_only.csv,True,349,c078db6f10c9f6103a4e20f843a9617c53fa85851477ebbbf16b4a5cfb0a7cc5
madrid_config,results/e2_met_madrid_pm10/config_snapshot.json,True,1486,587729b75b5046be94beaef51e11f707820102668c860f23346ee46e6ca1a1c1
ireland_predictions,results/e2_met_ireland_pm10_regenerated/predictions/predictions_all_models.csv,True,14729573,e8b262e0812da8c1243afcded5d621dcbed51d6dae56dc07a3fe9069c9484d8e
ireland_metrics,results/e2_met_ireland_pm10_regenerated/metrics/metrics_all_models.csv,True,114918,9ef85270253046979160281fb900465a9161635088486607f71d7aae503442a0
ireland_metrics,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary.csv,True,1626,3bedec78958528ea8d4b4499f92c248f4d40966c5cf65f6397b2bba9bdf409e4
ireland_config,results/e2_met_ireland_pm10_regenerated/config_snapshot.json,True,1337,bc207c4b1154401aea5f8807a101d0fa9b2cde8661ca0143d6a876487b9412d1
bootstrap,results/ijer/e3_hstar_uncertainty/hstar_bootstrap_all_resamples.parquet,True,55756,7053ebf34298bb5280ec7978ecf4a5044ee7a9073bbb90583b3806858d093688
bootstrap,results/ijer/e3_hstar_uncertainty/hstar_bootstrap_summary.csv,True,804,7dddc016a9d490cc54e5310475916e883748db3e214941ba6c64d829bcbcc1a8
canonical,results/ijer/canonical/canonical_hstar_results.csv,True,2531,7bc98053dd90561922ca0c5058aad0242bb995bab7d7bb76780e5d8d7df2d539
canonical,results/ijer/canonical/canonical_common_window_results.csv,True,2876,fb671a4cb400c4bea66b293f48db40361b9a0dd949b8de0385361a19cc0ac68c
canonical,results/ijer/canonical/canonical_dm_multiple_testing.csv,True,6719,e049f42e31bdd253e8155f3b88c1a317a4ccbaa8be6b6e872db3de7cc52060b9
script,code/e2_met_madrid_run.py,True,4289,1b4f9140f176c20709a40c2b28cd807dc787ef26c619548201f676f8b1b1457b
script,code/e2_met_madrid_shared.py,True,22711,e5b4919f42af34a16b3376965938b2a7e9d13d07b3116af391e2d417967acb0b
script,code/e2_met_ireland_run.py,True,16478,6d2dcb5555625697455cc40348a83442eb65a0efe2b1122448aeb6ca7ac4e7c6
script,code/rolling_origin.py,True,10571,2e105cf418284bb55232be1520a055d1b6d769f7218f1155a887fbeabd203b2d
script,code/run_e1_common_window.py,True,16709,0f8641cd8783a3a79aae8c86d0553d31eb50dc8db7877c5110d9b5373e47639b
script,code/run_e2_sarima_completion.py,True,8847,9785f445315904b0a42eeff5f0bbb7aabf804f7f6c882127de376220a7234d01
script,code/run_e3_hstar_uncertainty.py,True,10441,5f07e9369ad0cd66002e89389d0fe74136bb9a4239babb42b25bce33f3a152bc
script,code/run_e4_multiple_testing.py,True,8262,680afc5427739975c86464fb64ce5161f3b3bb632c83aeb87d21fab65a0d8890
script,code/merge_ireland_regenerated_shards.py,True,6816,753e5ab2c5d3946c91bb50166d1e85619a5e27616c05cacce063db112bd1c292
