station,horizon,dm_hln_stat_rectangular_canonical,p_raw_rectangular_canonical,p_fdr_station_rectangular_canonical,p_bonf_station_rectangular_canonical,p_fdr_global_rectangular_canonical,p_bonf_global_rectangular_canonical,favours_rectangular_canonical,classification_rectangular_canonical,dm_stat_bartlett,p_raw_bartlett,p_fdr_station_bartlett,p_bonf_station_bartlett,p_fdr_global_bartlett,p_bonf_global_bartlett,favours_bartlett,long_run_var_bartlett,bonf_global_status_rectangular,bonf_global_status_bartlett,fdr_global_status_rectangular,fdr_global_status_bartlett,fdr_station_status_rectangular,fdr_station_status_bartlett,status_changed_any_level
Birr (Co. Offaly),1,2.6818233431482272,0.0079044860452478,0.0316179441809914,0.0316179441809914,0.0691642528959187,0.2766570115836748,lags_meteo,FDR_STATION_SIGNIFICANT_ONLY,2.6818233431482272,0.007904486045247851,0.031617944180991404,0.031617944180991404,0.11200015889932709,0.28456149762892263,lags_meteo,3166.2381175746305,NS,NS,NS,NS,SIG,SIG,False
Birr (Co. Offaly),6,-0.5040345472620142,0.6147629790627139,0.6147629790627139,1.0,0.7969149728590735,1.0,lags_only,DIRECTION_ONLY,-0.517153529617482,0.6055906736742444,0.6055906736742444,1.0,0.7786165804383142,1.0,lags_only,7845.181802141168,NS,NS,NS,NS,NS,NS,False
Birr (Co. Offaly),12,1.0956988981611624,0.2744596197868237,0.5489192395736474,1.0,0.5506900347658592,1.0,lags_meteo,DIRECTION_ONLY,0.8792330919331871,0.3802751095795027,0.6055906736742444,1.0,0.6027199573030017,1.0,lags_meteo,7027.9599883170185,NS,NS,NS,NS,NS,NS,False
Birr (Co. Offaly),24,0.6916317263216507,0.4899289411074933,0.6147629790627139,1.0,0.6859005175504906,1.0,lags_meteo,DIRECTION_ONLY,0.7050302552187278,0.4815689369994002,0.6055906736742444,1.0,0.6667877589222464,1.0,lags_meteo,3486.8863447951226,NS,NS,NS,NS,NS,NS,False
Dublin Airport,1,1.636298907873568,0.1039608221124206,0.2079216442248412,0.4158432884496825,0.4548285967418402,1.0,lags_meteo,DIRECTION_ONLY,1.636298907873568,0.10396082211242062,0.41306756211383083,0.4158432884496825,0.5346556565781632,1.0,lags_meteo,4238.008325018625,NS,NS,NS,NS,NS,NS,False
Dublin Airport,6,-0.3416385111081501,0.733120993630458,0.733120993630458,1.0,0.829627020992038,1.0,lags_only,DIRECTION_ONLY,-0.27916947791784147,0.7805153111803277,0.7805153111803277,1.0,0.8780797250778687,1.0,lags_only,8983.056060022176,NS,NS,NS,NS,NS,NS,False
Dublin Airport,12,-0.3601173113766254,0.7192870463191401,0.733120993630458,1.0,0.829627020992038,1.0,lags_only,DIRECTION_ONLY,-0.38447263580802926,0.7011953653821152,0.7805153111803277,1.0,0.8414344384585383,1.0,lags_only,18452.80640727763,NS,NS,NS,NS,NS,NS,False
Dublin Airport,24,4.419558276976836,1.9334412245782515e-05,7.733764898313006e-05,7.733764898313006e-05,0.0006767044286023,0.0006767044286023,lags_meteo,BONFERRONI_GLOBAL_SIGNIFICANT,1.2688724232053867,0.20653378105691542,0.41306756211383083,0.8261351242276617,0.6027199573030017,1.0,lags_meteo,6853.8690468852,SIG,NS,SIG,NS,SIG,NS,True
Dundalk (Co. Louth),1,1.116832027233653,0.2658519015356704,0.287337102929194,1.0,0.5506900347658592,1.0,lags_meteo,DIRECTION_ONLY,1.116832027233653,0.2658519015356704,0.32487824119699016,1.0,0.6027199573030017,1.0,lags_meteo,42495.75054351805,NS,NS,NS,NS,NS,NS,False
Dundalk (Co. Louth),6,1.1317234937240472,0.2595447781078653,0.287337102929194,1.0,0.5506900347658592,1.0,lags_meteo,DIRECTION_ONLY,0.9877028213953449,0.32487824119699016,0.32487824119699016,1.0,0.6027199573030017,1.0,lags_meteo,3174.574134670853,NS,NS,NS,NS,NS,NS,False
