station,horizon,n,dm_stat,p_raw,mean_loss_diff,favours,long_run_var,kernel,max_lag,p_fdr_station,p_bonf_station,p_fdr_global,p_bonf_global,station_source_name
Madrid Casa de Campo,1,354,1.1690171716711575,0.24318551342344777,1.0989615683091,lags_meteo,311.95929795050347,bartlett,0,0.48637102684689554,0.9727420536937911,0.6027199573030017,1.0,Madrid Casa de Campo
Madrid Casa de Campo,6,356,-0.049553736194064765,0.9605058825059962,-0.1377302981316337,lags_only,2665.8231129202086,bartlett,5,0.9605058825059962,1.0,0.9605058825059962,1.0,Madrid Casa de Campo
Madrid Casa de Campo,12,346,2.385760757473182,0.017582791286829488,21.445798084898154,lags_meteo,26130.385627456504,bartlett,11,0.07033116514731795,0.07033116514731795,0.1582451215814654,0.6329804863258616,Madrid Casa de Campo
Madrid Casa de Campo,24,354,0.8336435551812127,0.40504560088149544,46.544226130825706,lags_meteo,961854.7750343198,bartlett,23,0.5400608011753273,1.0,0.6027199573030017,1.0,Madrid Casa de Campo
Birr (Co. Offaly),1,211,2.6818233431482272,0.007904486045247851,10.413394123242297,lags_meteo,3166.2381175746305,bartlett,0,0.031617944180991404,0.031617944180991404,0.11200015889932709,0.28456149762892263,Birr co offlay
Birr (Co. Offaly),6,212,-0.517153529617482,0.6055906736742444,-3.2297592209022885,lags_only,7845.181802141168,bartlett,5,0.6055906736742444,1.0,0.7786165804383142,1.0,Birr co offlay
Birr (Co. Offaly),12,212,0.8792330919331871,0.3802751095795027,5.352708209291071,lags_meteo,7027.9599883170185,bartlett,11,0.6055906736742444,1.0,0.6027199573030017,1.0,Birr co offlay
Birr (Co. Offaly),24,212,0.7050302552187278,0.4815689369994002,3.2157683317901617,lags_meteo,3486.8863447951226,bartlett,23,0.6055906736742444,1.0,0.6667877589222464,1.0,Birr co offlay
Dublin Airport,1,145,1.636298907873568,0.10396082211242062,8.876919821008741,lags_meteo,4238.008325018625,bartlett,0,0.41306756211383083,0.4158432884496825,0.5346556565781632,1.0,Dublin Airport
Dublin Airport,6,145,-0.27916947791784147,0.7805153111803277,-2.283981450895424,lags_only,8983.056060022176,bartlett,5,0.7805153111803277,1.0,0.8780797250778687,1.0,Dublin Airport
Dublin Airport,12,145,-0.38447263580802926,0.7011953653821152,-4.710884204740936,lags_only,18452.80640727763,bartlett,11,0.7805153111803277,1.0,0.8414344384585383,1.0,Dublin Airport
Dublin Airport,24,145,1.2688724232053867,0.20653378105691542,10.411115406417819,lags_meteo,6853.8690468852,bartlett,23,0.41306756211383083,0.8261351242276617,0.6027199573030017,1.0,Dublin Airport
Dundalk (Co. Louth),1,151,1.116832027233653,0.2658519015356704,18.798144433111016,lags_meteo,42495.75054351805,bartlett,0,0.32487824119699016,1.0,0.6027199573030017,1.0,Dundalk Co Louth
Dundalk (Co. Louth),6,152,0.9877028213953449,0.32487824119699016,4.683340453342756,lags_meteo,3174.574134670853,bartlett,5,0.32487824119699016,1.0,0.6027199573030017,1.0,Dundalk Co Louth
Dundalk (Co. Louth),12,153,1.0684745930030795,0.28700042844231954,3.5848547332623237,lags_meteo,1473.0949829312704,bartlett,11,0.32487824119699016,1.0,0.6027199573030017,1.0,Dundalk Co Louth
Dundalk (Co. Louth),24,152,1.114722435695909,0.2667404338929092,25.03414696149961,lags_meteo,54788.347612144236,bartlett,23,0.32487824119699016,1.0,0.6027199573030017,1.0,Dundalk Co Louth
Pearse Street Dublin,1,212,1.8465217600926176,0.06621700903700094,7.565988813916462,lags_meteo,3542.4602459322787,bartlett,0,0.08828934538266792,0.26486803614800375,0.47676246506640674,1.0,Pearse street dublin
Pearse Street Dublin,6,212,2.910299869911459,0.003998104859472143,6.622472140421916,lags_meteo,1041.5173405684748,bartlett,5,0.015992419437888573,0.015992419437888573,0.11200015889932709,0.14393177494099715,Pearse street dublin
Pearse Street Dublin,12,212,2.6236992654826143,0.009333346574943923,7.228489512032628,lags_meteo,1439.319453298623,bartlett,11,0.018666693149887847,0.037333386299775694,0.11200015889932709,0.3360004766979812,Pearse street dublin
Pearse Street Dublin,24,212,0.8105183816559804,0.4185555259048622,22.471766651267156,lags_meteo,128834.59252292759,bartlett,23,0.4185555259048622,1.0,0.6027199573030017,1.0,Pearse street dublin
Ringsend Dublin,1,212,1.2332601464379267,0.21885084811404806,2.7638135494325464,lags_meteo,1059.718568210085,bartlett,0,0.8260651434564052,0.8754033924561923,0.6027199573030017,1.0,Ringsend dublin
Ringsend Dublin,6,212,-0.19021071629640482,0.8493268854596392,-1.1029243268646565,lags_only,6762.74753349692,bartlett,5,0.937951591550163,1.0,0.8992872904866768,1.0,Ringsend dublin
Ringsend Dublin,12,212,0.8201914203060177,0.4130325717282026,17.87238132859101,lags_meteo,90037.74142434786,bartlett,11,0.8260651434564052,1.0,0.6027199573030017,1.0,Ringsend dublin
Ringsend Dublin,24,212,0.07793754465731839,0.937951591550163,0.3975948025677313,lags_meteo,4361.86028286991,bartlett,23,0.937951591550163,1.0,0.9605058825059962,1.0,Ringsend dublin
Edenderry (Co. Offaly),1,208,0.33918727846255114,0.7348125043072337,3.4216046844757093,lags_meteo,21064.48756831048,bartlett,0,0.8428407841788979,1.0,0.8533306501632391,1.0,edenderry co offlay
Edenderry (Co. Offaly),6,211,-1.2338781176822584,0.21862745008261628,-21.395230521168504,lags_only,60176.65480543146,bartlett,5,0.8428407841788979,0.8745098003304651,0.6027199573030017,1.0,edenderry co offlay
Edenderry (Co. Offaly),12,211,0.19850657351971943,0.8428407841788979,3.4652261603343457,lags_meteo,57479.63473717109,bartlett,11,0.8428407841788979,1.0,0.8992872904866768,1.0,edenderry co offlay
Edenderry (Co. Offaly),24,210,0.5916394715100751,0.5547314390079532,5.2760628311799955,lags_meteo,13171.67155421033,bartlett,23,0.8428407841788979,1.0,0.7396419186772709,1.0,edenderry co offlay
Henry Street Limerick,1,211,0.9174850000763162,0.3599410464410071,0.8001175467607401,lags_meteo,159.70883388022133,bartlett,0,0.48580229989787593,1.0,0.6027199573030017,1.0,henry street Limerick
Henry Street Limerick,6,211,-1.3203842473073553,0.18814402604000688,-17.33249905268745,lags_only,34487.38994777146,bartlett,5,0.48580229989787593,0.7525761041600275,0.6027199573030017,1.0,henry street Limerick
Henry Street Limerick,12,210,0.4059342745465447,0.6852061854939655,2.914035048250424,lags_meteo,9668.90002669025,bartlett,11,0.6852061854939655,1.0,0.8414344384585383,1.0,henry street Limerick
Henry Street Limerick,24,211,0.9090767971056043,0.36435172492340695,3.9190792032857225,lags_meteo,3096.5916274876854,bartlett,23,0.48580229989787593,1.0,0.6027199573030017,1.0,henry street Limerick
Portlaoise (Co. Laois),1,212,1.2210152526271616,0.22344287223785672,3.15271057085878,lags_meteo,1406.7226590181476,bartlett,0,0.3662228202116027,0.8937714889514269,0.6027199573030017,1.0,porrlaoise co laois
Portlaoise (Co. Laois),6,212,-1.0503012539675374,0.29478107664977204,-1.1837555453747899,lags_only,255.50416846536507,bartlett,5,0.3662228202116027,1.0,0.6027199573030017,1.0,porrlaoise co laois
Portlaoise (Co. Laois),12,212,1.7353590592890067,0.08413725177639934,3.973320694143413,lags_meteo,994.0740478313403,bartlett,11,0.3365490071055974,0.3365490071055974,0.5048235106583961,1.0,porrlaoise co laois
Portlaoise (Co. Laois),24,212,0.9055199491525809,0.3662228202116027,2.644914505956903,lags_meteo,1429.9176420672345,bartlett,23,0.3662228202116027,1.0,0.6027199573030017,1.0,porrlaoise co laois
