origin,train_start_config,xgboost_train_end_effective,xgboost_n_train_rows_nominal_hourly,sarima_n_train_rows_used,sarima_capped_at_17520,sarima_train_start_effective
2023-01-01,2019-01-01,2022-12-31T23:00:00,35064,17520,True,2021-01-01T00:00:00
2023-01-02,2019-01-01,2023-01-01T23:00:00,35088,17520,True,2021-01-02T00:00:00
2023-01-03,2019-01-01,2023-01-02T23:00:00,35112,17520,True,2021-01-03T00:00:00
2023-01-04,2019-01-01,2023-01-03T23:00:00,35136,17520,True,2021-01-04T00:00:00
2023-01-05,2019-01-01,2023-01-04T23:00:00,35160,17520,True,2021-01-05T00:00:00
2023-01-06,2019-01-01,2023-01-05T23:00:00,35184,17520,True,2021-01-06T00:00:00
2023-01-07,2019-01-01,2023-01-06T23:00:00,35208,17520,True,2021-01-07T00:00:00
2023-01-08,2019-01-01,2023-01-07T23:00:00,35232,17520,True,2021-01-08T00:00:00
2023-01-09,2019-01-01,2023-01-08T23:00:00,35256,17520,True,2021-01-09T00:00:00
2023-01-10,2019-01-01,2023-01-09T23:00:00,35280,17520,True,2021-01-10T00:00:00
2023-01-11,2019-01-01,2023-01-10T23:00:00,35304,17520,True,2021-01-11T00:00:00
2023-01-12,2019-01-01,2023-01-11T23:00:00,35328,17520,True,2021-01-12T00:00:00
2023-01-13,2019-01-01,2023-01-12T23:00:00,35352,17520,True,2021-01-13T00:00:00
2023-01-14,2019-01-01,2023-01-13T23:00:00,35376,17520,True,2021-01-14T00:00:00
2023-01-15,2019-01-01,2023-01-14T23:00:00,35400,17520,True,2021-01-15T00:00:00
2023-01-16,2019-01-01,2023-01-15T23:00:00,35424,17520,True,2021-01-16T00:00:00
2023-01-17,2019-01-01,2023-01-16T23:00:00,35448,17520,True,2021-01-17T00:00:00
2023-01-18,2019-01-01,2023-01-17T23:00:00,35472,17520,True,2021-01-18T00:00:00
2023-01-19,2019-01-01,2023-01-18T23:00:00,35496,17520,True,2021-01-19T00:00:00
2023-01-20,2019-01-01,2023-01-19T23:00:00,35520,17520,True,2021-01-20T00:00:00
2023-01-21,2019-01-01,2023-01-20T23:00:00,35544,17520,True,2021-01-21T00:00:00
2023-01-22,2019-01-01,2023-01-21T23:00:00,35568,17520,True,2021-01-22T00:00:00
2023-01-23,2019-01-01,2023-01-22T23:00:00,35592,17520,True,2021-01-23T00:00:00
2023-01-24,2019-01-01,2023-01-23T23:00:00,35616,17520,True,2021-01-24T00:00:00
2023-01-25,2019-01-01,2023-01-24T23:00:00,35640,17520,True,2021-01-25T00:00:00
2023-01-26,2019-01-01,2023-01-25T23:00:00,35664,17520,True,2021-01-26T00:00:00
2023-01-27,2019-01-01,2023-01-26T23:00:00,35688,17520,True,2021-01-27T00:00:00
2023-01-28,2019-01-01,2023-01-27T23:00:00,35712,17520,True,2021-01-28T00:00:00
2023-01-29,2019-01-01,2023-01-28T23:00:00,35736,17520,True,2021-01-29T00:00:00
2023-01-30,2019-01-01,2023-01-29T23:00:00,35760,17520,True,2021-01-30T00:00:00
2023-01-31,2019-01-01,2023-01-30T23:00:00,35784,17520,True,2021-01-31T00:00:00
2023-02-01,2019-01-01,2023-01-31T23:00:00,35808,17520,True,2021-02-01T00:00:00
2023-02-02,2019-01-01,2023-02-01T23:00:00,35832,17520,True,2021-02-02T00:00:00
2023-02-03,2019-01-01,2023-02-02T23:00:00,35856,17520,True,2021-02-03T00:00:00
2023-02-04,2019-01-01,2023-02-03T23:00:00,35880,17520,True,2021-02-04T00:00:00
2023-02-05,2019-01-01,2023-02-04T23:00:00,35904,17520,True,2021-02-05T00:00:00
2023-02-06,2019-01-01,2023-02-05T23:00:00,35928,17520,True,2021-02-06T00:00:00
2023-02-07,2019-01-01,2023-02-06T23:00:00,35952,17520,True,2021-02-07T00:00:00
2023-02-08,2019-01-01,2023-02-07T23:00:00,35976,17520,True,2021-02-08T00:00:00
2023-02-09,2019-01-01,2023-02-08T23:00:00,36000,17520,True,2021-02-09T00:00:00
2023-02-10,2019-01-01,2023-02-09T23:00:00,36024,17520,True,2021-02-10T00:00:00
2023-02-11,2019-01-01,2023-02-10T23:00:00,36048,17520,True,2021-02-11T00:00:00
2023-02-12,2019-01-01,2023-02-11T23:00:00,36072,17520,True,2021-02-12T00:00:00
2023-02-13,2019-01-01,2023-02-12T23:00:00,36096,17520,True,2021-02-13T00:00:00
2023-02-14,2019-01-01,2023-02-13T23:00:00,36120,17520,True,2021-02-14T00:00:00
2023-02-15,2019-01-01,2023-02-14T23:00:00,36144,17520,True,2021-02-15T00:00:00
2023-02-16,2019-01-01,2023-02-15T23:00:00,36168,17520,True,2021-02-16T00:00:00
2023-02-17,2019-01-01,2023-02-16T23:00:00,36192,17520,True,2021-02-17T00:00:00
2023-02-18,2019-01-01,2023-02-17T23:00:00,36216,17520,True,2021-02-18T00:00:00
2023-02-19,2019-01-01,2023-02-18T23:00:00,36240,17520,True,2021-02-19T00:00:00
2023-02-20,2019-01-01,2023-02-19T23:00:00,36264,17520,True,2021-02-20T00:00:00
2023-02-21,2019-01-01,2023-02-20T23:00:00,36288,17520,True,2021-02-21T00:00:00
2023-02-22,2019-01-01,2023-02-21T23:00:00,36312,17520,True,2021-02-22T00:00:00
2023-02-23,2019-01-01,2023-02-22T23:00:00,36336,17520,True,2021-02-23T00:00:00
2023-02-24,2019-01-01,2023-02-23T23:00:00,36360,17520,True,2021-02-24T00:00:00
2023-02-25,2019-01-01,2023-02-24T23:00:00,36384,17520,True,2021-02-25T00:00:00
2023-02-26,2019-01-01,2023-02-25T23:00:00,36408,17520,True,2021-02-26T00:00:00
2023-02-27,2019-01-01,2023-02-26T23:00:00,36432,17520,True,2021-02-27T00:00:00
2023-02-28,2019-01-01,2023-02-27T23:00:00,36456,17520,True,2021-02-28T00:00:00
2023-03-01,2019-01-01,2023-02-28T23:00:00,36480,17520,True,2021-03-01T00:00:00
2023-03-02,2019-01-01,2023-03-01T23:00:00,36504,17520,True,2021-03-02T00:00:00
2023-03-03,2019-01-01,2023-03-02T23:00:00,36528,17520,True,2021-03-03T00:00:00
2023-03-04,2019-01-01,2023-03-03T23:00:00,36552,17520,True,2021-03-04T00:00:00
2023-03-05,2019-01-01,2023-03-04T23:00:00,36576,17520,True,2021-03-05T00:00:00
2023-03-06,2019-01-01,2023-03-05T23:00:00,36600,17520,True,2021-03-06T00:00:00
2023-03-07,2019-01-01,2023-03-06T23:00:00,36624,17520,True,2021-03-07T00:00:00
2023-03-08,2019-01-01,2023-03-07T23:00:00,36648,17520,True,2021-03-08T00:00:00
2023-03-09,2019-01-01,2023-03-08T23:00:00,36672,17520,True,2021-03-09T00:00:00
2023-03-10,2019-01-01,2023-03-09T23:00:00,36696,17520,True,2021-03-10T00:00:00
2023-03-11,2019-01-01,2023-03-10T23:00:00,36720,17520,True,2021-03-11T00:00:00
2023-03-12,2019-01-01,2023-03-11T23:00:00,36744,17520,True,2021-03-12T00:00:00
2023-03-13,2019-01-01,2023-03-12T23:00:00,36768,17520,True,2021-03-13T00:00:00
2023-03-14,2019-01-01,2023-03-13T23:00:00,36792,17520,True,2021-03-14T00:00:00
2023-03-15,2019-01-01,2023-03-14T23:00:00,36816,17520,True,2021-03-15T00:00:00
2023-03-16,2019-01-01,2023-03-15T23:00:00,36840,17520,True,2021-03-16T00:00:00
2023-03-17,2019-01-01,2023-03-16T23:00:00,36864,17520,True,2021-03-17T00:00:00
2023-03-18,2019-01-01,2023-03-17T23:00:00,36888,17520,True,2021-03-18T00:00:00
2023-03-19,2019-01-01,2023-03-18T23:00:00,36912,17520,True,2021-03-19T00:00:00
2023-03-20,2019-01-01,2023-03-19T23:00:00,36936,17520,True,2021-03-20T00:00:00
2023-03-21,2019-01-01,2023-03-20T23:00:00,36960,17520,True,2021-03-21T00:00:00
2023-03-22,2019-01-01,2023-03-21T23:00:00,36984,17520,True,2021-03-22T00:00:00
2023-03-23,2019-01-01,2023-03-22T23:00:00,37008,17520,True,2021-03-23T00:00:00
2023-03-24,2019-01-01,2023-03-23T23:00:00,37032,17520,True,2021-03-24T00:00:00
2023-03-25,2019-01-01,2023-03-24T23:00:00,37056,17520,True,2021-03-25T00:00:00
2023-03-26,2019-01-01,2023-03-25T23:00:00,37080,17520,True,2021-03-26T00:00:00
2023-03-27,2019-01-01,2023-03-26T23:00:00,37104,17520,True,2021-03-27T00:00:00
2023-03-28,2019-01-01,2023-03-27T23:00:00,37128,17520,True,2021-03-28T00:00:00
2023-03-29,2019-01-01,2023-03-28T23:00:00,37152,17520,True,2021-03-29T00:00:00
2023-03-30,2019-01-01,2023-03-29T23:00:00,37176,17520,True,2021-03-30T00:00:00
2023-03-31,2019-01-01,2023-03-30T23:00:00,37200,17520,True,2021-03-31T00:00:00
2023-04-01,2019-01-01,2023-03-31T23:00:00,37224,17520,True,2021-04-01T00:00:00
2023-04-02,2019-01-01,2023-04-01T23:00:00,37248,17520,True,2021-04-02T00:00:00
2023-04-03,2019-01-01,2023-04-02T23:00:00,37272,17520,True,2021-04-03T00:00:00
2023-04-04,2019-01-01,2023-04-03T23:00:00,37296,17520,True,2021-04-04T00:00:00
2023-04-05,2019-01-01,2023-04-04T23:00:00,37320,17520,True,2021-04-05T00:00:00
2023-04-06,2019-01-01,2023-04-05T23:00:00,37344,17520,True,2021-04-06T00:00:00
2023-04-07,2019-01-01,2023-04-06T23:00:00,37368,17520,True,2021-04-07T00:00:00
2023-04-08,2019-01-01,2023-04-07T23:00:00,37392,17520,True,2021-04-08T00:00:00
2023-04-09,2019-01-01,2023-04-08T23:00:00,37416,17520,True,2021-04-09T00:00:00
2023-04-10,2019-01-01,2023-04-09T23:00:00,37440,17520,True,2021-04-10T00:00:00
2023-04-11,2019-01-01,2023-04-10T23:00:00,37464,17520,True,2021-04-11T00:00:00
2023-04-12,2019-01-01,2023-04-11T23:00:00,37488,17520,True,2021-04-12T00:00:00
2023-04-13,2019-01-01,2023-04-12T23:00:00,37512,17520,True,2021-04-13T00:00:00
2023-04-14,2019-01-01,2023-04-13T23:00:00,37536,17520,True,2021-04-14T00:00:00
2023-04-15,2019-01-01,2023-04-14T23:00:00,37560,17520,True,2021-04-15T00:00:00
2023-04-16,2019-01-01,2023-04-15T23:00:00,37584,17520,True,2021-04-16T00:00:00
2023-04-17,2019-01-01,2023-04-16T23:00:00,37608,17520,True,2021-04-17T00:00:00
2023-04-18,2019-01-01,2023-04-17T23:00:00,37632,17520,True,2021-04-18T00:00:00
2023-04-19,2019-01-01,2023-04-18T23:00:00,37656,17520,True,2021-04-19T00:00:00
2023-04-20,2019-01-01,2023-04-19T23:00:00,37680,17520,True,2021-04-20T00:00:00
2023-04-21,2019-01-01,2023-04-20T23:00:00,37704,17520,True,2021-04-21T00:00:00
2023-04-22,2019-01-01,2023-04-21T23:00:00,37728,17520,True,2021-04-22T00:00:00
2023-04-23,2019-01-01,2023-04-22T23:00:00,37752,17520,True,2021-04-23T00:00:00
2023-04-24,2019-01-01,2023-04-23T23:00:00,37776,17520,True,2021-04-24T00:00:00
2023-04-25,2019-01-01,2023-04-24T23:00:00,37800,17520,True,2021-04-25T00:00:00
2023-04-26,2019-01-01,2023-04-25T23:00:00,37824,17520,True,2021-04-26T00:00:00
2023-04-27,2019-01-01,2023-04-26T23:00:00,37848,17520,True,2021-04-27T00:00:00
2023-04-28,2019-01-01,2023-04-27T23:00:00,37872,17520,True,2021-04-28T00:00:00
2023-04-29,2019-01-01,2023-04-28T23:00:00,37896,17520,True,2021-04-29T00:00:00
2023-04-30,2019-01-01,2023-04-29T23:00:00,37920,17520,True,2021-04-30T00:00:00
