station,horizon,n_origins_lags_only,n_origins_lags_meteo,n_origins_common,first_date,last_date,n_months,months,coverage_pct,exclusion_reason
Birr co offlay,1,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,2,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,3,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,4,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,5,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,6,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,7,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,8,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,9,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,10,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,11,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,12,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,13,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,14,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,15,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,16,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,17,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,18,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Birr co offlay,19,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
