figure_file,referenced_in_manuscript,producing_script,source_csv,values_shown,matches_current_canonical_values,file_mtime,canonical_source_mtime,status
figures/ijer/figure_1_madrid_common_window.pdf,True,code/generate_ijer_tables_and_figures.py,results/ijer/e1_common_window/madrid_full_year_skill_by_horizon.csv; madrid_jan_jul_skill_by_horizon.csv,"Madrid skill(h) curves, full-year vs Jan-Jul, H* thresholds (9/17 full-year, 9/19 Jan-Jul)",True,2026-08-04 19:05,2026-08-04 (same regeneration batch as results/ijer/canonical/*),CURRENT
figures/ijer/figure_2_hstar_uncertainty.pdf,True,code/regenerate_ijer_figures_and_tables_codex.py,results/ijer/canonical/canonical_hstar_uncertainty.csv,"Bootstrap Delta H* distributions per station (median, 95% CI, P(>0))",True,2026-08-04 19:54,2026-08-04 19:54 (identical batch),CURRENT
figures/ijer/figure_3_dm_heatmap.pdf,True,code/regenerate_ijer_figures_and_tables_codex.py,results/ijer/canonical/canonical_dm_multiple_testing.csv,DM-HLN p-values / classification heatmap by station x horizon (incl. Portlaoise h=24 as undetermined),True,2026-08-04 19:54,2026-08-04 19:54 (identical batch),CURRENT
figures/ijer/figure_4_hstar_classification.pdf,True,code/regenerate_ijer_figures_and_tables_codex.py,results/ijer/canonical/canonical_hstar_uncertainty.csv + canonical_hstar_results.csv,Station-level H* ceiling-censoring classification (5 Irish stations at ceiling h=24),True,2026-08-04 19:54,2026-08-04 19:54 (identical batch),CURRENT
manuscripts/figures/figure_rho1_vs_delta_hstar.pdf,False,code/e2_autocorrelation_analysis.py (approx.; not wired to canonical/ dir),NOT_TRACED_TO_CANONICAL (predates 2026-08-04 canonical regeneration batch),rho1 vs Delta H* scatter across 9 sites,UNKNOWN_NOT_VERIFIABLE,2026-08-01 21:29,predates canonical regeneration (2026-08-04),"OBSOLETE_OR_ORPHANED (no \includegraphics reference found in manuscripts/manuscript_main.tex; rho1 association is reported as text/no-figure in the compiled manuscript, n=9 r=0.555 p=0.121 per docs/audit/P3_PROJECT_CANON.md section 10)"
manuscripts/figures/madrid_figure_delta_skill.pdf,False,code/e2_met_madrid_figures.py,results/e2_met_madrid_pm10/manuscript_tables/table_delta_lags_meteo_vs_lags_only.csv,Madrid delta-skill by horizon,UNKNOWN_NOT_VERIFIABLE,2026-08-01 21:30,predates canonical regeneration (2026-08-04),"OBSOLETE_OR_ORPHANED (superseded by figures/ijer/figure_1_madrid_common_window.pdf, which IS referenced)"
manuscripts/figures/madrid_figure_dm_significance.pdf,False,code/e2_met_madrid_figures.py,results/e2_met_madrid_pm10/stats/dm_lags_meteo_vs_lags_only.csv,Madrid-only DM significance by horizon,UNKNOWN_NOT_VERIFIABLE,2026-08-01 21:30,predates canonical regeneration (2026-08-04),"OBSOLETE_OR_ORPHANED (superseded by figures/ijer/figure_3_dm_heatmap.pdf, which IS referenced)"
manuscripts/figures/madrid_figure_hstar_summary.pdf,False,code/e2_met_madrid_figures.py,results/e2_met_madrid_pm10/manuscript_tables/table_hstar_summary.csv,Madrid-only H* summary,UNKNOWN_NOT_VERIFIABLE,2026-08-01 21:30,predates canonical regeneration (2026-08-04),"OBSOLETE_OR_ORPHANED (superseded by figures/ijer/figure_2 and figure_4, which ARE referenced)"
manuscripts/figures/madrid_figure_skill_curves.pdf,False,code/madrid_sarima_make_figures.py,results/madrid_sarima/* (SARIMA-specific skill curves),Madrid skill(h) incl. SARIMA overlay,UNKNOWN_NOT_VERIFIABLE,2026-08-02 17:59,predates canonical regeneration (2026-08-04),"OBSOLETE_OR_ORPHANED (superseded by figures/ijer/figure_1_madrid_common_window.pdf, which IS referenced)"
manuscripts/figures/ireland_figure_hstar_summary.pdf,False,code/e2_met_ireland_figures.py,results/e2_met_ireland_pm10_regenerated/manuscript_tables/table_station_hstar_summary.csv (approx.),Ireland-only H* summary by station,UNKNOWN_NOT_VERIFIABLE,2026-08-02 11:40,predates canonical regeneration (2026-08-04),"OBSOLETE_OR_ORPHANED (superseded by figures/ijer/figure_4_hstar_classification.pdf, which IS referenced)"
