site,origin,model,protocol,train_start_config,train_end_effective,n_train_rows_hourly_approx,capped,source
Madrid,2023-01-01,xgboost_direct,"expanding window, train_start fixed, train < origin (strict)",2019-01-01,2022-12-31T23:00:00,35064,False,code/rolling_origin.py:get_train_window() (mask: train_start <= t < origin); code/e2_met_madrid_shared.py:get_condition_feature_columns()
Madrid,2023-01-01,sarima,"same expanding train_df as XGBoost, then capped to most recent sarima_max_train_rows=17520 (~2 years) via .iloc[-17520:]",2019-01-01,2022-12-31T23:00:00,17520,True,code/e2_met_madrid_shared.py:predict_sarima() lines ~226-233 (cap comment: 'avoid Kalman-filter memory crash on long series')
Madrid,2023-07-01,xgboost_direct,"expanding window, train_start fixed, train < origin (strict)",2019-01-01,2023-06-30T23:00:00,39408,False,code/rolling_origin.py:get_train_window() (mask: train_start <= t < origin); code/e2_met_madrid_shared.py:get_condition_feature_columns()
Madrid,2023-07-01,sarima,"same expanding train_df as XGBoost, then capped to most recent sarima_max_train_rows=17520 (~2 years) via .iloc[-17520:]",2019-01-01,2023-06-30T23:00:00,17520,True,code/e2_met_madrid_shared.py:predict_sarima() lines ~226-233 (cap comment: 'avoid Kalman-filter memory crash on long series')
Madrid,2023-12-30,xgboost_direct,"expanding window, train_start fixed, train < origin (strict)",2019-01-01,2023-12-29T23:00:00,43776,False,code/rolling_origin.py:get_train_window() (mask: train_start <= t < origin); code/e2_met_madrid_shared.py:get_condition_feature_columns()
Madrid,2023-12-30,sarima,"same expanding train_df as XGBoost, then capped to most recent sarima_max_train_rows=17520 (~2 years) via .iloc[-17520:]",2019-01-01,2023-12-29T23:00:00,17520,True,code/e2_met_madrid_shared.py:predict_sarima() lines ~226-233 (cap comment: 'avoid Kalman-filter memory crash on long series')
"Ireland (generic, hourly grid, per e2_met_ireland_config.json)",2023-01-01,xgboost_direct,"expanding window, train_start fixed, train < origin (strict)",2020-01-01,2022-12-31T23:00:00,26304,False,code/rolling_origin.py:get_train_window() (mask: train_start <= t < origin); code/e2_met_madrid_shared.py:get_condition_feature_columns()
"Ireland (generic, hourly grid, per e2_met_ireland_config.json)",2023-01-01,sarima,"same expanding train_df as XGBoost, then capped to most recent sarima_max_train_rows=17520 (~2 years) via .iloc[-17520:]",2020-01-01,2022-12-31T23:00:00,17520,True,code/e2_met_madrid_shared.py:predict_sarima() lines ~226-233 (cap comment: 'avoid Kalman-filter memory crash on long series')
"Ireland (generic, hourly grid, per e2_met_ireland_config.json)",2023-04-01,xgboost_direct,"expanding window, train_start fixed, train < origin (strict)",2020-01-01,2023-03-31T23:00:00,28464,False,code/rolling_origin.py:get_train_window() (mask: train_start <= t < origin); code/e2_met_madrid_shared.py:get_condition_feature_columns()
"Ireland (generic, hourly grid, per e2_met_ireland_config.json)",2023-04-01,sarima,"same expanding train_df as XGBoost, then capped to most recent sarima_max_train_rows=17520 (~2 years) via .iloc[-17520:]",2020-01-01,2023-03-31T23:00:00,17520,True,code/e2_met_madrid_shared.py:predict_sarima() lines ~226-233 (cap comment: 'avoid Kalman-filter memory crash on long series')
"Ireland (generic, hourly grid, per e2_met_ireland_config.json)",2023-07-31,xgboost_direct,"expanding window, train_start fixed, train < origin (strict)",2020-01-01,2023-07-30T23:00:00,31368,False,code/rolling_origin.py:get_train_window() (mask: train_start <= t < origin); code/e2_met_madrid_shared.py:get_condition_feature_columns()
"Ireland (generic, hourly grid, per e2_met_ireland_config.json)",2023-07-31,sarima,"same expanding train_df as XGBoost, then capped to most recent sarima_max_train_rows=17520 (~2 years) via .iloc[-17520:]",2020-01-01,2023-07-30T23:00:00,17520,True,code/e2_met_madrid_shared.py:predict_sarima() lines ~226-233 (cap comment: 'avoid Kalman-filter memory crash on long series')
