horizon,skill_lags_only_median,skill_lags_only_lo95,skill_lags_only_hi95,skill_lags_meteo_median,skill_lags_meteo_lo95,skill_lags_meteo_hi95
1,-0.007400918920475896,-0.09019421510689574,0.06075110880044768,0.00904565055945905,-0.08777259896754819,0.0898857051666235
2,-0.025561796043084728,-0.11050022637981954,0.05193560953834559,0.01863161963314869,-0.06773351019924309,0.0989119961929138
3,0.050609147483023975,-0.03393552150217617,0.13496641292919045,0.07788221851589783,-0.011755744269820784,0.1569545683807488
4,0.09942678673989247,-0.001374739800381185,0.19869496781889298,0.13873046071446482,0.027327921677272514,0.24259888911963537
5,0.16286692106986356,0.04755416159507084,0.2583588139849557,0.1785052308286738,0.07543819129527822,0.26915920397352366
6,0.19515267009852005,0.08972877935599702,0.2911761216863981,0.19209387018605284,0.07708311003203237,0.2954548275121121
7,0.18374862781377993,0.06722841472677446,0.2830840991061748,0.201141981499097,0.09955677377457095,0.2876994949992697
8,0.2131582203552605,0.10466929546654866,0.31106537143310325,0.21690960753040145,0.13619987765719538,0.29409055501709713
9,0.1602529131252327,0.0860999434465178,0.22718917050549664,0.19811094505156907,0.12230137153887635,0.2705340184932883
10,0.11658654220669878,0.020463374633720027,0.194344271124056,0.1656765258697671,0.07502351781912638,0.24195961046964629
11,0.046992283021968784,-0.07449887318954235,0.1334211161686231,0.0933545014034165,-0.01842562863882924,0.1782852973163153
12,-0.011496930729274935,-0.17542234379718025,0.09638646187503268,0.059074662024618196,-0.07866686379646401,0.1614128520239009
13,0.00047076064165280096,-0.2072807612538554,0.11402087003311409,0.07681964448873463,-0.03111052782261378,0.16512749533318155
14,-0.019463081171282925,-0.285609933395779,0.12359974993716644,0.08817317385751111,-0.02987548370709827,0.19127099889594426
15,0.032203020761319534,-0.15820914771951358,0.15167141600183653,0.08985646639380757,-0.018797543619210204,0.18366673364879943
16,-0.00016298113916246582,-0.24096656274441267,0.13031843512436986,0.052383139636664244,-0.13743755136070718,0.1672246945142982
17,-0.027066606825902118,-0.34336017285513676,0.11683918421907469,0.017323119980445223,-0.259996875245355,0.1580183446985621
18,-0.05538121926582651,-0.45242816162851673,0.12214025441933277,-0.059005927551582515,-0.4391015579346186,0.13863130658148332
19,-0.059815677234530185,-0.5084807676509367,0.140455578057567,-0.041596677781010505,-0.48105674354106975,0.17284889304015738
20,-0.11775622823101894,-0.7007261229722622,0.14995249914181788,-0.06581702263243627,-0.5908256853176433,0.2095611623009233
21,-0.1829019928585326,-0.972690643661253,0.20183052163773918,-0.08330895092120327,-0.5740400470042277,0.20371502526930194
22,-0.07646712900570296,-0.6771496275827965,0.22334581638185771,-0.07296299040198839,-0.5119102531967656,0.2051124168202163
23,-0.07384480166857377,-0.6828364194733183,0.22918774899889738,-0.09570547937561247,-0.6901182166650629,0.21387309855755807
24,-0.23530419697041105,-1.1162994750796489,0.21396615373494135,-0.11560563248188893,-0.7610370556454409,0.20836333869758497
