horizon,n,dm_stat,p_value,mean_loss_diff,favours,station,p_HLN,p_raw,p_BH,p_Bonferroni,decision_raw,decision_BH,decision_Bonferroni
1,185,1.2202918266141272,0.22391589801967954,2.1922343565382816,lags_meteo,Madrid,0.22391589801967954,0.22391589801967954,0.008804341600389213,1.0,False,True,False
6,185,1.4220067375410554,0.15671717620161166,3.7076169643820247,lags_meteo,Madrid,0.15671717620161166,0.15671717620161166,0.008804341600389213,1.0,False,True,False
12,185,2.2714088063245867,0.024280083151478875,25.14432877474028,lags_meteo,Madrid,0.024280083151478875,0.024280083151478875,0.008804341600389213,0.8012427439988029,True,True,False
24,185,0.644228617346353,0.5202294692810796,2.585887229954012,lags_meteo,Madrid,0.5202294692810796,0.5202294692810796,0.008804341600389213,1.0,False,True,False
1,210,3.7088535525143316,0.0002667982303148246,12.132847854642486,lags_meteo,Birr co offlay,0.0002667982303148246,0.0002667982303148246,0.008804341600389213,0.008804341600389213,True,True,True
6,210,0.9526613166326839,0.3418621572923547,3.2626498963301227,lags_meteo,Birr co offlay,0.3418621572923547,0.3418621572923547,0.19171463588859425,1.0,False,False,False
12,210,1.6944071784375512,0.09167745998130572,5.441293379212782,lags_meteo,Birr co offlay,0.09167745998130572,0.09167745998130572,0.19171463588859425,1.0,False,False,False
24,210,0.20824395600509868,0.8352412834784293,1.0132757562308081,lags_meteo,Birr co offlay,0.8352412834784293,0.8352412834784293,0.19171463588859425,1.0,False,False,False
1,145,1.9020886201430398,0.05915641009306157,7.652934855249962,lags_meteo,Dublin Airport,0.05915641009306157,0.05915641009306157,0.19171463588859425,1.0,False,False,False
6,145,-0.6706141953820237,0.5035404816025596,-7.580100713589529,lags_only,Dublin Airport,0.5035404816025596,0.5035404816025596,0.19171463588859425,1.0,False,False,False
12,145,-0.713047277444627,0.4769704215109246,-21.990989695468706,lags_only,Dublin Airport,0.4769704215109246,0.4769704215109246,0.19171463588859425,1.0,False,False,False
24,145,2.324122389675176,0.021517582182062154,22.122570100305627,lags_meteo,Dublin Airport,0.021517582182062154,0.021517582182062154,0.19171463588859425,0.710080212008051,True,False,False
