horizon,persistence,sarima,lags_only,lags_meteo
1,0.0,-0.007819288670142699,-0.005799346486440982,0.015582447487925921
2,0.0,0.004827012647729556,-0.026328553309907576,0.01952917373682761
3,0.0,0.06054941167036987,0.05020493182133989,0.07859440905765536
4,0.0,0.09354605844741404,0.10229816531563307,0.14236116605861948
5,0.0,0.1363670257687407,0.16821879853660748,0.1862687217196174
6,0.0,0.1621992580322208,0.20556108499441972,0.20406045765092962
7,0.0,0.1818492265454692,0.19435171094486958,0.2135027775021442
8,0.0,0.192343923412577,0.233542400610245,0.23711121693572723
9,0.0,0.0454021394292502,0.17435209526935747,0.21120362996180397
10,0.0,-0.017366468465745744,0.127235415090027,0.17335476245014858
11,0.0,-0.049069453504149374,0.051767380428234144,0.09872180706077116
12,0.0,-0.08322025329553817,-0.01107692670674787,0.06286645695131632
13,0.0,-0.06988156115378663,-0.0005593209012149103,0.0832978289171501
14,0.0,-0.046193705604033575,-0.024871421399123905,0.0953036332921402
15,0.0,-0.036046236957813615,0.031216036127107993,0.09502461130863105
16,0.0,0.007998519111030777,-0.006007399168680205,0.05142807409514405
17,0.0,0.023701867215720762,-0.03216889792041866,0.012812871936035308
18,0.0,0.01875213024141764,-0.061962637397578346,-0.06289222273335926
19,0.0,0.026588357013446307,-0.06852616130131772,-0.047670802500394016
20,0.0,0.025413574311005216,-0.1288402716439625,-0.07495073112050554
21,0.0,-0.005214945540867433,-0.20045816382531378,-0.08696635664605101
22,0.0,-0.035737871560844736,-0.09009228298687444,-0.07452428516867382
23,0.0,-0.0554133714580618,-0.08780474811440508,-0.11276118644870503
24,0.0,-0.06757769244905742,-0.254807983906278,-0.1334892057850683
