station,period,start_date,end_date,expected_hours,valid_pm10,valid_meteo,missing_count,missing_rate,max_gap_hours,continuous_segments_count,obs_after_lags,obs_after_pairing,p95_pm10_train,p95_pm10_eval,exceeds_40_train,exceeds_40_eval
Madrid Casa de Campo,2020-01-01 to 2023-12-31,2020-01-01 00:00:00,2023-12-31 23:00:00,35064,34680,34680,384,0.0109,24.0,5,34512,34512,41.5,42.0,True,True
Birr co offlay,2020-09-04 00:00:00 to 2023-08-01 00:00:00,2020-09-04 00:00:00,2023-08-01 00:00:00,25465,24778,24778,687,0.027,24.0,15,24610,24610,31.373,31.373,False,False
Dublin Airport,2020-06-30 02:00:00 to 2023-05-26 23:00:00,2020-06-30 02:00:00,2023-05-26 23:00:00,25462,25462,25462,0,0.0,24.0,15,25294,25294,45.31,45.31,True,True
Dundalk Co Louth,2020-06-30 02:00:00 to 2023-06-04 20:00:00,2020-06-30 02:00:00,2023-06-04 20:00:00,25675,18872,18872,6803,0.265,24.0,12,18704,18704,25.0,25.0,False,False
Pearse street dublin,2021-01-22 07:00:00 to 2023-08-01 00:00:00,2021-01-22 07:00:00,2023-08-01 00:00:00,22098,22098,22098,0,0.0,24.0,10,21930,21930,31.0,31.0,False,False
Rathmines Dublin,2020-06-30 02:00:00 to 2023-08-01 00:00:00,2020-06-30 02:00:00,2023-08-01 00:00:00,27047,27047,27047,0,0.0,24.0,14,26879,26879,26.98,26.98,False,False
Ringsend dublin,2020-06-30 02:00:00 to 2023-08-01 00:00:00,2020-06-30 02:00:00,2023-08-01 00:00:00,27047,8036,8036,19011,0.705,48.0,19,7868,7868,40.8675,40.8675,True,True
edenderry co offlay,2021-08-31 17:00:00 to 2023-08-03 13:00:00,2021-08-31 17:00:00,2023-08-03 13:00:00,16845,84,84,16761,0.995,24.0,12,-84,-84,45.23,45.23,True,True
henry street Limerick,2021-06-30 10:00:00 to 2023-08-03 18:00:00,2021-06-30 10:00:00,2023-08-03 18:00:00,18345,15081,15081,3264,0.175,24.0,10,14913,14913,29.304,29.304,False,False
porrlaoise co laois,2020-06-30 02:00:00 to 2023-08-01 00:00:00,2020-06-30 02:00:00,2023-08-01 00:00:00,27047,27047,27047,0,0.0,24.0,15,26879,26879,27.0,27.0,False,False
