station,horizon,n,mean_loss_diff,dm_raw,dm_hln,p_value_raw,p_value_adjusted_within_station,p_value_adjusted_global,favoured_model,implementation_details
Madrid Casa de Campo,1,354,1.099,1.1707,1.169,0.243186,0.972742,1.0,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Madrid Casa de Campo,6,356,-0.1377,-0.0492,-0.0484,0.961428,1.0,1.0,lags_only,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Madrid Casa de Campo,12,346,21.4458,2.6024,2.5159,0.012327,0.049307,0.443765,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Madrid Casa de Campo,24,354,46.5442,0.9071,0.8469,0.397639,1.0,1.0,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Birr co offlay,1,211,10.4134,2.6882,2.6818,0.007904,0.031618,0.284561,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Birr co offlay,6,212,-3.2298,-0.5175,-0.504,0.614763,1.0,1.0,lags_only,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Birr co offlay,12,212,5.3527,1.1585,1.0957,0.27446,1.0,1.0,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Birr co offlay,24,212,3.2158,0.7779,0.6916,0.489929,1.0,1.0,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Dublin Airport,1,145,8.8769,1.642,1.6363,0.103961,0.415843,1.0,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Dublin Airport,6,145,-2.284,-0.3551,-0.3416,0.733121,1.0,1.0,lags_only,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Dublin Airport,12,145,-4.7109,-0.3911,-0.3601,0.719287,1.0,1.0,lags_only,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Dublin Airport,24,145,10.4111,5.2744,4.4196,1.9e-05,7.7e-05,0.000696,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
Dundalk Co Louth,1,151,18.7981,1.1205,1.1168,0.265852,1.0,1.0,lags_meteo,"Squared error loss, Harvey-Leybourne-Newbold finite-sample correction, two-sided Student-t test"
