station,horizon,delta_skill_mean,delta_skill_ci95_low,delta_skill_ci95_high
Madrid Casa de Campo,1,0.0195,-0.007,0.0469
Madrid Casa de Campo,2,0.0446,0.006,0.0748
Madrid Casa de Campo,3,0.026,-0.0029,0.0513
Madrid Casa de Campo,4,0.039,0.0102,0.0642
Madrid Casa de Campo,5,0.0161,-0.0127,0.0373
Madrid Casa de Campo,6,-0.0018,-0.0392,0.042
Madrid Casa de Campo,7,0.0189,-0.0133,0.041
Madrid Casa de Campo,8,0.0029,-0.0292,0.0379
Madrid Casa de Campo,9,0.0366,0.0053,0.0629
Madrid Casa de Campo,10,0.0481,0.0188,0.0751
Madrid Casa de Campo,11,0.0482,0.0137,0.0763
Madrid Casa de Campo,12,0.0739,0.0293,0.1053
Madrid Casa de Campo,13,0.082,0.0055,0.1377
Madrid Casa de Campo,14,0.1156,0.0181,0.1944
Madrid Casa de Campo,15,0.0615,-0.0152,0.1321
Madrid Casa de Campo,16,0.0544,-0.0793,0.1735
Madrid Casa de Campo,17,0.0395,-0.1657,0.2194
Madrid Casa de Campo,18,-0.0043,-0.2233,0.2295
Madrid Casa de Campo,19,0.0173,-0.2749,0.305
Madrid Casa de Campo,20,0.0456,-0.3536,0.407
Madrid Casa de Campo,21,0.0929,-0.3217,0.4581
Madrid Casa de Campo,22,0.004,-0.2503,0.2416
Madrid Casa de Campo,23,-0.0287,-0.127,0.0396
Madrid Casa de Campo,24,0.1058,-0.0601,0.258
Birr co offlay,1,0.0537,0.0319,0.075
Birr co offlay,2,0.022,0.0008,0.0407
Birr co offlay,3,0.0178,0.0065,0.0302
Birr co offlay,4,0.0155,-0.0029,0.0379
Birr co offlay,5,-0.0149,-0.0433,0.0117
Birr co offlay,6,-0.0133,-0.0523,0.0267
Birr co offlay,7,0.0017,-0.0325,0.041
Birr co offlay,8,0.0198,0.0019,0.042
Birr co offlay,9,0.0173,-0.0034,0.0395
Birr co offlay,10,0.016,-0.0074,0.0426
Birr co offlay,11,0.045,0.0272,0.0671
Birr co offlay,12,0.0188,-0.0066,0.0576
Birr co offlay,13,0.0552,0.0136,0.0971
Birr co offlay,14,0.0032,-0.0335,0.0264
Birr co offlay,15,0.0021,-0.0407,0.0497
Birr co offlay,16,0.0043,-0.0309,0.0495
Birr co offlay,17,0.1019,0.0534,0.1334
Birr co offlay,18,0.1698,0.0781,0.2376
Birr co offlay,19,0.0936,0.0421,0.1414
Birr co offlay,20,0.0995,0.0299,0.1501
Birr co offlay,21,0.0883,0.0603,0.1189
Birr co offlay,22,0.1255,0.046,0.194
Birr co offlay,23,0.1746,0.1141,0.219
Birr co offlay,24,0.0105,-0.011,0.0282
Dublin Airport,1,0.0891,0.0139,0.1367
Dublin Airport,2,0.164,0.0253,0.2548
Dublin Airport,3,0.1091,0.043,0.1544
Dublin Airport,4,0.0269,-0.0586,0.0839
Dublin Airport,5,0.063,-0.0342,0.1321
Dublin Airport,6,-0.0068,-0.0846,0.0631
Dublin Airport,7,-0.0061,-0.0783,0.0678
Dublin Airport,8,0.039,-0.0355,0.1363
Dublin Airport,9,0.0111,-0.0586,0.1182
Dublin Airport,10,0.001,-0.0496,0.079
Dublin Airport,11,-0.0,-0.0514,0.0832
Dublin Airport,12,-0.0071,-0.0433,0.0449
Dublin Airport,13,-0.0559,-0.1353,0.0663
Dublin Airport,14,-0.0206,-0.0502,0.029
Dublin Airport,15,-0.0286,-0.0566,0.0154
Dublin Airport,16,-0.0152,-0.0604,0.0418
Dublin Airport,17,0.0002,-0.0454,0.0643
Dublin Airport,18,-0.0943,-0.2021,0.0635
Dublin Airport,19,-0.0951,-0.2134,0.085
Dublin Airport,20,-0.0447,-0.1196,0.0799
Dublin Airport,21,-0.0012,-0.0722,0.0931
Dublin Airport,22,0.014,-0.0416,0.0777
Dublin Airport,23,0.0219,-0.041,0.0713
Dublin Airport,24,0.0234,-0.0197,0.0604
Dundalk Co Louth,1,0.1159,-0.0064,0.2369
