station,horizon,forecast_origin,target_timestamp,latest_pm10_feature_timestamp,earliest_met_timestamp,latest_met_timestamp,last_training_target_timestamp,temporal_contract_valid
Madrid Casa de Campo,1,2023-01-01 00:00:00,2023-01-01 01:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
Madrid Casa de Campo,1,2023-06-01 12:00:00,2023-06-01 13:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
Madrid Casa de Campo,12,2023-01-01 00:00:00,2023-01-01 12:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
Madrid Casa de Campo,12,2023-06-01 12:00:00,2023-06-02 00:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
Madrid Casa de Campo,24,2023-01-01 00:00:00,2023-01-02 00:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
Madrid Casa de Campo,24,2023-06-01 12:00:00,2023-06-02 12:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
Birr co offlay,1,2023-01-01 00:00:00,2023-01-01 01:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
Birr co offlay,1,2023-06-01 12:00:00,2023-06-01 13:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
Birr co offlay,12,2023-01-01 00:00:00,2023-01-01 12:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
Birr co offlay,12,2023-06-01 12:00:00,2023-06-02 00:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
