artifact,status,repo_path,commit,sha256,classification,notes
Ireland row-level predictions (results/e2_met_ireland_pm10/predictions/predictions_all_models.csv),NOT_FOUND,,,,fuente primaria,"Never committed to git on any branch or commit (verified after `git fetch --unshallow`, full history search, and `git log --all` on all refs incl. refs/pull/1/head and refs/pull/1/merge). Not present locally. Not regenerable: source dataset data_processed/ireland_pm10_meteorology_hourly.csv is absent from the repo and only ever existed at an author-local absolute path."
Ireland per-station/model/condition/horizon metrics (results/e2_met_ireland_pm10/metrics/metrics_all_models.csv, hstar_summary.csv),NOT_FOUND,,,,output derivado,Same as above -- never committed, not regenerable without the missing row-level predictions and source dataset.
Ireland DM-HLN stats (results/e2_met_ireland_pm10/stats/dm_lags_meteo_vs_lags_only.csv),NOT_FOUND,,,,output derivado,Same as above.
Ireland run_metadata.json (original run),NOT_FOUND,,,,metadata,Never committed. Reconstructed partially (config/code-derived fields only) at results/e2_met_ireland_pm10/run_metadata.json in this recovery; run-specific fields (generated_at, n_origins) marked NOT_VERIFIED.
Ireland manuscript_tables/*.csv (table_delta_skill_meteo_vs_lags.csv, table_station_hstar_wide.csv, table_dm_lags_meteo_vs_lags_only.csv),NOT_FOUND,,,,tabla de manuscrito,"Never committed. reports/output_versioning_policy.md explicitly lists these as recommended-but-not-executed selective tracking targets."
code/e2_met_ireland_config.json,RECOVERED (already tracked),code/e2_met_ireland_config.json,54569072ae525974838a84950cb0e31cf83cd5a2,9c38b6b27459bb7841e224da641b9ae6e83f50ec11c86a7970d49f4b55f29cd7,configuracion,Copied verbatim into results/e2_met_ireland_pm10/config_snapshot.json. dataset_path/results_dir fields point to an author-local absolute path.
code/e2_met_ireland_run.py,PRESENT (already tracked),code/e2_met_ireland_run.py,54569072ae525974838a84950cb0e31cf83cd5a2,9d1678834b2117f3865489516c05a48b55aa2de7b7095739456e3436b825397c,script,Entry point for the original Ireland E2-MET run. Not modified. Not executed in this recovery (source dataset absent).
code/e2_met_ireland_tables.py,PRESENT (already tracked),code/e2_met_ireland_tables.py,54569072ae525974838a84950cb0e31cf83cd5a2,,script,Builds manuscript tables from metrics_all_models.csv/hstar_summary.csv/dm_lags_meteo_vs_lags_only.csv -- cannot run, those inputs do not exist.
code/e2_met_ireland_figures.py,PRESENT (already tracked),code/e2_met_ireland_figures.py,54569072ae525974838a84950cb0e31cf83cd5a2,,script,Same dependency chain as e2_met_ireland_tables.py.
code/build_ireland_experiment_base.py,PRESENT (already tracked),code/build_ireland_experiment_base.py,54569072ae525974838a84950cb0e31cf83cd5a2,,script,Produced reports/ireland_experiment_setup.md; source raw data it consumed is not committed.
code/audit_ireland_datasets.py,PRESENT (already tracked),code/audit_ireland_datasets.py,54569072ae525974838a84950cb0e31cf83cd5a2,,script,Produced reports/ireland_dataset_inventory.{md,csv}.
code/e2_autocorrelation_analysis.py,PRESENT (already tracked),code/e2_autocorrelation_analysis.py,54569072ae525974838a84950cb0e31cf83cd5a2,,script,"Computes rho1 per station; requires data_processed/ireland_pm10_meteorology_hourly.csv (absent) and results/e2_met_ireland_pm10/manuscript_tables/table_station_hstar_summary.csv (absent) as inputs. Cannot run. Hardcodes an author-local ROOT path (docs/audit/path_issues.md lists this file as a known absolute-path issue)."
reports/ireland_experiment_setup.md,RECOVERED (already tracked),reports/ireland_experiment_setup.md,54569072ae525974838a84950cb0e31cf83cd5a2,15cb95653b0da0b923c6e5a185c963884da273277b1e4ec7ec4bdf66e7c9df07,tabla de manuscrito / evidencia parcial,Used to cross-check manuscript Table 1 (descriptive) row counts -- see manifests/stations_manifest.csv.
reports/ireland_dataset_inventory.md,RECOVERED (already tracked),reports/ireland_dataset_inventory.md,54569072ae525974838a84950cb0e31cf83cd5a2,411e927df0d01919e10f534f3bcc9bae32e6d22a15e920ddc9f4ca56bcdc4721,evidencia parcial,Structural audit of raw Ireland data quality; does not contain PM10 values or skill metrics.
reports/ireland_e2_met_results_interpretation.md,RECOVERED (already tracked),reports/ireland_e2_met_results_interpretation.md,54569072ae525974838a84950cb0e31cf83cd5a2,c42f50bf8a863855d5f88b29e5bd9ba2748d8786e941120357b3598a0662fda2,evidencia parcial,"Committed summary of the original (now-lost) run. H*_strict and DM-HLN favours-counts in this file match manuscripts/manuscript_main.tex exactly -- the strongest surviving corroboration of the manuscript's Ireland numbers. See tables/manuscript_source_values.csv."
docs/audit/meteorology_experiment_audit.md,RECOVERED (already tracked),docs/audit/meteorology_experiment_audit.md,54569072ae525974838a84950cb0e31cf83cd5a2,527949534e2f8e01083543839e9ce207b6c950340b6835f7b70e32b74a9f9dd5,evidencia parcial,Per-station joint PM10+meteorology coverage audit (rows/joint_rows/nonnull fractions); does not contain skill or H* values.
docs/audit/path_issues.md,RECOVERED (already tracked),docs/audit/path_issues.md,54569072ae525974838a84950cb0e31cf83cd5a2,02ac8fa427a71ba8a7ac3b674558712415729bcc39bdd252531b4f9104b9baa8,evidencia parcial,"Repo's own committed acknowledgement that code/e2_met_ireland_config.json and code/e2_autocorrelation_analysis.py contain author-local absolute paths requiring cleanup before a portable rerun -- corroborates the root-cause explanation for the missing evidence."
outputs/tables/master_meteorology_diagnostic_table.csv,PRESENT but NOT USED AS SOURCE (already tracked elsewhere in repo),outputs/tables/master_meteorology_diagnostic_table.csv,54569072ae525974838a84950cb0e31cf83cd5a2,2aca1083f971834c7e7c0814350ec8598326c85769adb9349497c01f18e78710,output derivado / evidencia parcial,"Real, committed, row-level-derived per-station/horizon skill diagnostic (384 rows, 8 stations x 24h x 2 conditions), produced by a LATER, separate pipeline (code/run_meteorology_dynamic_experiment.py). Independently recomputing H*_strict from this file's skill_h column, using the manuscript's own literal definition, DISAGREES with the manuscript for 3 of 8 stations (Dublin Airport, edenderry co offlay, henry street Limerick) -- see tables/manuscript_source_values.csv. NOT copied into this directory or treated as the manuscript's source, to avoid misrepresenting its provenance; referenced here in place only."
outputs/metrics/predictions_meteorology_experiment.csv,PRESENT but NOT USED AS SOURCE (already tracked elsewhere in repo),outputs/metrics/predictions_meteorology_experiment.csv,54569072ae525974838a84950cb0e31cf83cd5a2,1bca8bc85b69f8432182cfc58051154ba02d8f2596920021d36f4cccafaca49e,fuente primaria (para el pipeline posterior, no para el manuscrito),"112969-row row-level prediction file underlying master_meteorology_diagnostic_table.csv. Same provenance caveat as above -- not the manuscript's source data, not copied into this directory."
results/meteorology_experiment_closure.md,PRESENT (already tracked elsewhere in repo),results/meteorology_experiment_closure.md,54569072ae525974838a84950cb0e31cf83cd5a2,2b6340dfc022d33f99fbb159967a541edeaa6f88f45d80520e317b0d889bafbb,evidencia parcial,"States explicitly: 'this run compiles existing rolling-origin forecasts rather than refitting them' -- confirms outputs/metrics/predictions_meteorology_experiment.csv was built FROM a prior predictions file (results/e2_met_ireland_pm10/predictions/predictions_all_models.csv per code/run_meteorology_dynamic_experiment.py:17) that existed on disk at generation time but was never committed and no longer exists."
code/run_meteorology_dynamic_experiment.py,PRESENT (already tracked),code/run_meteorology_dynamic_experiment.py,54569072ae525974838a84950cb0e31cf83cd5a2,50274c2a1a6715680b57385adb76a4e953d54ab69933f1db46df4f39071151e6,script,"Line 17 hardcodes SOURCE_PREDICTIONS = results/e2_met_ireland_pm10/predictions/predictions_all_models.csv as a required input (raises FileNotFoundError if absent) -- direct code evidence that this exact file existed locally after the original Ireland run and before this later pipeline ran, corroborating the recovery narrative."
data_processed/ireland_pm10_meteorology_hourly.csv (raw/processed source dataset),NOT_FOUND,,,,fuente primaria,"Absent from git (all branches/commits) and from this session's workspace. data_processed/ contains only .gitkeep. Per reports/output_versioning_policy.md this is by explicit repository policy ('Do not version raw data, processed full datasets'). Regeneration is blocked: the raw EPA Ireland data is not in this repository and acquiring it from the Irish EPA would be new data acquisition outside the scope of this recovery task."
reports/ireland_e2_met_results_interpretation.md tables/figures it cites (results/e2_met_ireland_pm10/manuscript_tables/*.csv, results/e2_met_ireland_pm10/figures/*.png),NOT_FOUND,,,,tabla de manuscrito / figura,Cited by the interpretation report itself as sources but never committed under results/e2_met_ireland_pm10/.
manuscripts/figures/ireland_figure_*.png (4 files: skill_by_station, delta_skill, dm_significance, hstar_summary),PRESENT (already tracked),manuscripts/figures/,54569072ae525974838a84950cb0e31cf83cd5a2,,figura,"Rendered figures ARE committed and are the ones actually included in manuscripts/manuscript_main.tex. Their generating source table (results/e2_met_ireland_pm10/manuscript_tables/*.csv) is absent, so the figures cannot be regenerated or numerically re-verified from anything in this repository -- existence of the PNG is not treated as proof of validity per the audit rule against inferring figure validity from file presence alone."
git history (all branches/tags/PR refs) for results/e2_met_ireland_pm10,SEARCHED -- NOT_FOUND,,,,irrelevante (negative result),"`git log --all --oneline -- 'results/e2_met_ireland_pm10/*'` returns zero commits across all refs (main, claude/resume-data-pipeline-o6kpU, claude/review-experiment-results-3uUgY, refs/pull/1/head, refs/pull/1/merge), confirmed after `git fetch --unshallow` (repo was not actually squashed, as an earlier remote-access audit assumed from a shallow clone -- full history has 27 commits)."
