claim_id,manuscript_file,manuscript_line,station,model,condition,horizon,metric,manuscript_value,recovered_value,absolute_difference,source_file,source_row,status
IE-001,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Birr (Co. Offaly),xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-002,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Birr (Co. Offaly),xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-003,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Birr (Co. Offaly),xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-004,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Birr (Co. Offaly),xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-005,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Dublin Airport,xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,22,22,0,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-006,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Dublin Airport,xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,22,0,22,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MISMATCH
IE-007,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Dublin Airport,xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,23,23,0,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-008,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Dublin Airport,xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,23,0,23,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MISMATCH
IE-009,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Dundalk (Co. Louth),xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-010,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Dundalk (Co. Louth),xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-011,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Dundalk (Co. Louth),xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-012,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Dundalk (Co. Louth),xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-013,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Pearse St. Dublin,xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-014,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Pearse St. Dublin,xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-015,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Pearse St. Dublin,xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-016,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Pearse St. Dublin,xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-017,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Ringsend Dublin,xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-018,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Ringsend Dublin,xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-019,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Ringsend Dublin,xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
