claim_id,manuscript_value,regenerated_value,absolute_difference,status,source_file,source_row
IE-001,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-002,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-003,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-004,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-005,22,22,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=22 (used); H_strict_from_h1=0
IE-006,22,22,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=22 (used); H_strict_from_h1=0
IE-007,23,23,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=23 (used); H_strict_from_h1=0
IE-008,23,23,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=23 (used); H_strict_from_h1=0
IE-009,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-010,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-011,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-012,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-013,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-014,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-015,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-016,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-017,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-018,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-019,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-020,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-021,16,16,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=16 (used); H_strict_from_h1=7
IE-022,16,16,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=16 (used); H_strict_from_h1=7
IE-023,16,16,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=16 (used); H_strict_from_h1=7
IE-024,16,16,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=16 (used); H_strict_from_h1=7
IE-025,18,17,1.0,ROUNDING_MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=17 (used); H_strict_from_h1=1
IE-026,18,17,1.0,ROUNDING_MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=17 (used); H_strict_from_h1=1
IE-027,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-028,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-029,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-030,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-031,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
IE-032,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,H_strict_max_run=24 (used); H_strict_from_h1=24
