station,condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
Birr co offlay,reference,persistence,1,211,8.473596046303319,14.12406006673371,8.473596046303319,14.12406006673371,,
Birr co offlay,reference,persistence,2,212,8.659978836462264,14.533548890991174,8.659978836462264,14.533548890991174,,
Birr co offlay,reference,persistence,3,212,8.624216583820754,14.701264015382009,8.624216583820754,14.701264015382009,,
Birr co offlay,reference,persistence,4,212,8.785980914764151,14.87352355890036,8.785980914764151,14.87352355890036,,
Birr co offlay,reference,persistence,5,212,8.990306351367924,14.95049002185638,8.990306351367924,14.95049002185638,,
Birr co offlay,reference,persistence,6,212,9.243238354150945,15.105319897589112,9.243238354150945,15.105319897589112,,
Birr co offlay,reference,persistence,7,212,9.398566399103776,15.071642496595285,9.398566399103776,15.071642496595285,,
Birr co offlay,reference,persistence,8,212,9.949191829481132,15.604968877578816,9.949191829481132,15.604968877578816,,
Birr co offlay,reference,persistence,9,212,9.644616588443396,14.845672831313207,9.644616588443396,14.845672831313207,,
Birr co offlay,reference,persistence,10,212,10.012999592273584,15.328205345664143,10.012999592273584,15.328205345664143,,
Birr co offlay,reference,persistence,11,212,9.785991932273586,15.38092581256083,9.785991932273586,15.38092581256083,,
Birr co offlay,reference,persistence,12,212,9.526130719575471,15.692270620784226,9.526130719575471,15.692270620784226,,
Birr co offlay,reference,persistence,13,212,9.151914323867926,15.12706082804524,9.151914323867926,15.12706082804524,,
Birr co offlay,reference,persistence,14,212,8.806124925047172,14.790613826526991,8.806124925047172,14.790613826526991,,
Birr co offlay,reference,persistence,15,211,8.390366017393365,14.098457790948576,8.390366017393365,14.098457790948576,,
Birr co offlay,reference,persistence,16,211,8.338578147488152,14.127488764711272,8.338578147488152,14.127488764711272,,
Birr co offlay,reference,persistence,17,212,8.476087709339623,14.522899445768996,8.476087709339623,14.522899445768996,,
Birr co offlay,reference,persistence,18,212,9.711468644433962,16.749104897509746,9.711468644433962,16.749104897509746,,
Birr co offlay,reference,persistence,19,212,11.167648273820756,19.541219110543636,11.167648273820756,19.541219110543636,,
Birr co offlay,reference,persistence,20,212,12.099985763726416,21.467150083627505,12.099985763726416,21.467150083627505,,
Birr co offlay,reference,persistence,21,212,11.91951525754717,21.675368351870524,11.91951525754717,21.675368351870524,,
Birr co offlay,reference,persistence,22,212,9.997427804245282,16.419249589858655,9.997427804245282,16.419249589858655,,
Birr co offlay,reference,persistence,23,212,9.696251708679243,16.221772354270485,9.696251708679243,16.221772354270485,,
Birr co offlay,reference,persistence,24,212,10.198217364292452,15.720667298345692,10.198217364292452,15.720667298345692,,
Birr co offlay,reference,sarima,1,211,7.978744875148839,12.945481249769712,8.473596046303319,14.12406006673371,0.0583991930286036,0.0834447610244801
Birr co offlay,reference,sarima,2,212,7.392462125170887,12.003499253742792,8.659978836462264,14.533548890991174,0.1463648740057633,0.1740834022182062
Birr co offlay,reference,sarima,3,212,6.696141370728179,10.942568681083504,8.624216583820754,14.701264015382009,0.223565258867651,0.2556715756118495
Birr co offlay,reference,sarima,4,212,6.454590884341514,10.0895969071481,8.785980914764151,14.87352355890036,0.2653534139261466,0.3216404393220963
Birr co offlay,reference,sarima,5,212,6.02900153041568,9.261962749871858,8.990306351367924,14.95049002185638,0.3293886443037244,0.3804910249542568
Birr co offlay,reference,sarima,6,212,6.199077888480821,9.09947099418699,9.243238354150945,15.105319897589112,0.3293391719475734,0.3975982596939695
Birr co offlay,reference,sarima,7,212,6.403850325615476,8.9039776629929,9.398566399103776,15.071642496595285,0.3186354116489369,0.4092231377565962
Birr co offlay,reference,sarima,8,212,7.520916226246428,10.824012876327473,9.949191829481132,15.604968877578816,0.2440676232655715,0.3063739529862574
Birr co offlay,reference,sarima,9,212,7.966804098647954,10.200358897588185,9.644616588443396,14.845672831313207,0.1739636277305072,0.3129069316364634
Birr co offlay,reference,sarima,10,212,8.723497502651622,11.335363235531249,10.012999592273584,15.328205345664143,0.1287827965774602,0.2604898629742288
Birr co offlay,reference,sarima,11,212,8.870911191648476,11.958314667355108,9.785991932273586,15.38092581256083,0.0935092473975204,0.2225230904118039
Birr co offlay,reference,sarima,12,212,9.062758905179397,13.205686413689524,9.526130719575471,15.692270620784226,0.0486421851679909,0.1584591718550437
Birr co offlay,reference,sarima,13,212,9.566834046259077,13.646260039429247,9.151914323867926,15.12706082804524,-0.0453369325485324,0.0978908464406131
Birr co offlay,reference,sarima,14,212,9.696559606153878,13.681250731510383,8.806124925047172,14.790613826526991,-0.1011153814743248,0.0750045338231306
Birr co offlay,reference,sarima,15,211,9.02633772024524,12.273296446929598,8.390366017393365,14.098457790948576,-0.0757978497640621,0.1294582266431126
Birr co offlay,reference,sarima,16,211,9.4760949505481,12.57785182112582,8.338578147488152,14.127488764711272,-0.1364161590789439,0.1096894833465559
Birr co offlay,reference,sarima,17,212,10.863461322168268,14.64587163652165,8.476087709339623,14.522899445768996,-0.2816598523630245,-0.0084674683049243
Birr co offlay,reference,sarima,18,212,13.205310621190373,19.24988441776701,9.711468644433962,16.749104897509746,-0.3597645325003311,-0.1493082487428376
Birr co offlay,reference,sarima,19,212,14.949450253072012,22.46717272846645,11.167648273820756,19.541219110543636,-0.3386390658556619,-0.1497323990571344
Birr co offlay,reference,sarima,20,212,16.036189824653526,24.962851828211885,12.099985763726416,21.467150083627505,-0.3253065034776441,-0.1628395819177912
Birr co offlay,reference,sarima,21,212,16.255942013959757,24.875781664881572,11.91951525754717,21.675368351870524,-0.3638089857443538,-0.1476520842025213
Birr co offlay,reference,sarima,22,212,14.33514814690584,19.02256976601523,9.997427804245282,16.419249589858655,-0.4338836376311312,-0.1585529327579329
Birr co offlay,reference,sarima,23,212,13.740988483455146,18.476575101040947,9.696251708679243,16.221772354270485,-0.4171443663282175,-0.1389985445195125
Birr co offlay,reference,sarima,24,212,12.028172864910328,15.612768259762394,10.198217364292452,15.720667298345692,-0.1794387622120308,0.0068635151762707
Birr co offlay,lags_meteo,xgboost_direct,1,211,5.068969421230411,6.755268399907042,8.473596046303319,14.12406006673371,0.4017924156956015,0.5217190830406001
Birr co offlay,lags_meteo,xgboost_direct,2,212,4.692217193943039,6.369456639620479,8.659978836462264,14.533548890991174,0.4581722100535891,0.5617411351216028
Birr co offlay,lags_meteo,xgboost_direct,3,212,4.334124075076748,5.78742347948157,8.624216583820754,14.701264015382009,0.4974472135581946,0.6063315730248664
Birr co offlay,lags_meteo,xgboost_direct,4,212,4.219014134453327,5.557953638444112,8.785980914764151,14.87352355890036,0.5198015821587314,0.6263189676317004
Birr co offlay,lags_meteo,xgboost_direct,5,212,4.426203247909126,5.981961378431626,8.990306351367924,14.95049002185638,0.5076693635433618,0.5998819189413529
Birr co offlay,lags_meteo,xgboost_direct,6,212,4.74744939248954,6.628871683523514,9.243238354150945,15.105319897589112,0.4863867823599334,0.561156484704338
Birr co offlay,lags_meteo,xgboost_direct,7,212,4.892045703148959,6.504148998327412,9.398566399103776,15.071642496595285,0.4794902227199827,0.5684512155993142
Birr co offlay,lags_meteo,xgboost_direct,8,212,5.907621176955774,8.348352048737773,9.949191829481132,15.604968877578816,0.4062209998353336,0.4650196284125458
