station,horizon,n,dm_stat,p_value,mean_loss_diff,favours
Birr co offlay,1,211,2.681823343148227,0.0079044860452478,10.413394123242297,lags_meteo
Birr co offlay,6,212,-0.504034547262014,0.6147629790627142,-3.2297592209022863,lags_only
Birr co offlay,12,212,1.095698898161163,0.2744596197868231,5.352708209291072,lags_meteo
Birr co offlay,24,212,0.69163172632165,0.4899289411074936,3.2157683317901578,lags_meteo
Dublin Airport,1,145,1.636298907873568,0.1039608221124206,8.87691982100874,lags_meteo
Dublin Airport,6,145,-0.3416385111081502,0.733120993630458,-2.283981450895425,lags_only
Dublin Airport,12,145,-0.3601173113766256,0.7192870463191399,-4.710884204740942,lags_only
Dublin Airport,24,145,4.419558276976807,1.933441224578476e-05,10.41111540641782,lags_meteo
Dundalk Co Louth,1,151,1.1168320272336532,0.2658519015356702,18.79814443311102,lags_meteo
Dundalk Co Louth,6,152,1.131723493724048,0.2595447781078647,4.683340453342759,lags_meteo
Dundalk Co Louth,12,153,1.0677257118161256,0.2873371029291939,3.584854733262324,lags_meteo
Dundalk Co Louth,24,152,1.0924697245294994,0.2763666051344836,25.034146961499616,lags_meteo
Pearse street dublin,1,212,1.8465217600926176,0.0662170090370009,7.565988813916462,lags_meteo
Pearse street dublin,6,212,3.082056072037175,0.0023299539320384,6.622472140421918,lags_meteo
Pearse street dublin,12,212,3.2627209400021697,0.0012870319356812,7.228489512032626,lags_meteo
Pearse street dublin,24,212,0.8230217363607573,0.4114248226671083,22.47176665126716,lags_meteo
Ringsend dublin,1,212,1.2332601464379265,0.2188508481140479,2.7638135494325464,lags_meteo
Ringsend dublin,6,212,-0.1796946718678522,0.8575647245562908,-1.102924326864658,lags_only
Ringsend dublin,12,212,0.8403676271941015,0.4016535484881954,17.872381328590997,lags_meteo
Ringsend dublin,24,212,0.100733862286568,0.9198573817884655,0.3975948025677308,lags_meteo
edenderry co offlay,1,208,0.3391872784625511,0.7348125043072338,3.4216046844757084,lags_meteo
edenderry co offlay,6,211,-1.1842689758376288,0.2376452617803161,-21.395230521168504,lags_only
edenderry co offlay,12,211,0.1829865246091501,0.8549851332272087,3.465226160334342,lags_meteo
edenderry co offlay,24,210,0.5630433000319659,0.574008910118404,5.276062831179997,lags_meteo
henry street Limerick,1,211,0.9174850000763152,0.3599410464410074,0.8001175467607395,lags_meteo
henry street Limerick,6,211,-1.1227009241416606,0.2628464709144419,-17.332499052687446,lags_only
henry street Limerick,12,210,0.4099540303081807,0.6822595648016919,2.9140350482504247,lags_meteo
henry street Limerick,24,211,0.8670162204294419,0.3869227080525055,3.9190792032857207,lags_meteo
porrlaoise co laois,1,212,1.2210152526271612,0.2234428722378567,3.152710570858781,lags_meteo
porrlaoise co laois,6,212,-1.0412610659146304,0.2989460188728948,-1.1837555453747897,lags_only
porrlaoise co laois,12,212,1.814215044716721,0.0710649718625419,3.9733206941434127,lags_meteo
porrlaoise co laois,24,212,,,2.6449145059569044,undetermined
