condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
reference,persistence,1,2,9.0,11.40175425099138,9.0,11.40175425099138,,
reference,persistence,2,2,9.0,10.816653826391969,9.0,10.816653826391969,,
reference,persistence,3,2,10.0,12.206555615733702,10.0,12.206555615733702,,
reference,persistence,4,2,8.5,11.335784048754634,8.5,11.335784048754634,,
reference,persistence,5,2,11.0,11.704699910719626,11.0,11.704699910719626,,
reference,persistence,6,2,13.0,13.601470508735444,13.0,13.601470508735444,,
reference,persistence,7,2,13.5,13.729530217745982,13.5,13.729530217745982,,
reference,persistence,8,2,17.5,17.67766952966369,17.5,17.67766952966369,,
reference,persistence,9,2,17.0,17.26267650163207,17.0,17.26267650163207,,
reference,persistence,10,2,20.0,20.024984394500787,20.0,20.024984394500787,,
reference,persistence,11,2,18.5,19.300259065618786,18.5,19.300259065618786,,
reference,persistence,12,2,20.0,20.396078054371134,20.0,20.396078054371134,,
reference,persistence,13,2,14.5,16.32482771731451,14.5,16.32482771731451,,
reference,persistence,14,2,15.5,17.219175357722563,15.5,17.219175357722563,,
reference,persistence,15,2,15.0,18.027756377319943,15.0,18.027756377319943,,
reference,persistence,16,2,18.0,20.591260281974,18.0,20.591260281974,,
reference,persistence,17,2,21.5,21.64486082191336,21.5,21.64486082191336,,
reference,persistence,18,2,21.0,21.587033144922906,21.0,21.587033144922906,,
reference,persistence,19,2,17.0,19.235384061671343,17.0,19.235384061671343,,
reference,persistence,20,2,14.5,17.334935823359714,14.5,17.334935823359714,,
reference,persistence,21,2,11.5,14.300349646075093,11.5,14.300349646075093,,
reference,persistence,22,2,8.5,10.124228365658292,8.5,10.124228365658292,,
reference,persistence,23,2,10.5,11.423659658795865,10.5,11.423659658795865,,
reference,persistence,24,2,11.5,12.747548783981962,11.5,12.747548783981962,,
reference,sarima,1,2,7.859418852309677,10.541489206585815,9.0,11.40175425099138,0.1267312386322581,0.0754502355925417
reference,sarima,2,2,9.380125011786973,10.114086375874846,9.0,10.816653826391969,-0.0422361124207746,0.0649523837772177
reference,sarima,3,2,10.727654894105587,11.40563719442487,10.0,12.206555615733702,-0.0727654894105589,0.0656137936467913
reference,sarima,4,2,8.477686331634123,9.53382329549015,8.5,11.335784048754634,0.002625137454809,0.1589621631388127
reference,sarima,5,2,5.789871782530092,7.735914243923418,11.0,11.704699910719626,0.4736480197699916,0.3390762426263861
reference,sarima,6,2,6.725531685203473,8.506727433874525,13.0,13.601470508735444,0.482651408830502,0.3745729604448914
reference,sarima,7,2,6.302794553137806,6.407183105801275,13.5,13.729530217745982,0.5331263293971995,0.5333283073648268
reference,sarima,8,2,9.272853045677389,9.33895163219596,17.5,17.67766952966369,0.4701226831041493,0.4717091177360849
reference,sarima,9,2,7.770139006849188,7.901992765918716,17.0,17.26267650163207,0.5429329995971066,0.5422498495426455
reference,sarima,10,2,9.97395639795224,10.34035132257289,20.0,20.024984394500787,0.5013021801023879,0.4836274965880857
reference,sarima,11,2,7.703284419359308,8.489012620358022,18.5,19.300259065618786,0.5836062476021995,0.5601606905121687
reference,sarima,12,2,8.367082913104095,8.61406676399461,20.0,20.396078054371134,0.5816458543447952,0.5776606296057734
reference,sarima,13,2,5.466807836277212,5.897570394120035,14.5,16.32482771731451,0.6229787699119165,0.6387361327026484
reference,sarima,14,2,5.278368684000913,5.865852111039054,15.5,17.219175357722563,0.6594600849031669,0.6593418680524501
reference,sarima,15,2,7.775291345851908,7.913458813117761,15.0,18.027756377319943,0.4816472436098727,0.561040284354331
reference,sarima,16,2,7.68717853983085,8.56298167382889,18.0,20.591260281974,0.5729345255649527,0.5841448480292828
reference,sarima,17,2,6.638830479939925,6.641664329923766,21.5,21.64486082191336,0.6912171869795384,0.6931528280745648
reference,sarima,18,2,5.705868335061581,6.258036703008312,21.0,21.587033144922906,0.7282919840446866,0.7101020477897328
reference,sarima,19,2,6.271049463942169,6.327354171081433,17.0,19.235384061671343,0.6311147374151665,0.6710565200676499
reference,sarima,20,2,6.678857825412484,7.034839902693487,14.5,17.334935823359714,0.5393891154887942,0.5941813702469161
reference,sarima,21,2,5.69754290878017,7.951003691663955,11.5,14.300349646075093,0.5045614861930288,0.4439993504741888
reference,sarima,22,2,9.054972644859951,9.377814730335604,8.5,10.124228365658292,-0.0652908993952883,0.0737254838951035
reference,sarima,23,2,7.439943093941779,7.536398832618933,10.5,11.423659658795865,0.2914339910531639,0.3402815684537538
reference,sarima,24,2,6.988327588777102,7.2980459993213325,11.5,12.747548783981962,0.3923193401063389,0.4274941698209656
lags_meteo,xgboost_direct,1,2,5.644776344299316,6.78410931396363,9.0,11.40175425099138,0.372802628411187,0.4049942522332689
lags_meteo,xgboost_direct,2,2,8.998991966247559,8.99916609204223,9.0,10.816653826391969,0.0001120037502713,0.1680268004801244
lags_meteo,xgboost_direct,3,2,10.302504539489746,10.544221819158643,10.0,12.206555615733702,-0.0302504539489745,0.1361836908711893
lags_meteo,xgboost_direct,4,2,7.770076751708984,8.060273174404172,8.5,11.335784048754634,0.0858733233283547,0.2889531822644694
lags_meteo,xgboost_direct,5,2,4.987425804138184,5.181520660025753,11.0,11.704699910719626,0.5465976541692561,0.5573128145489392
lags_meteo,xgboost_direct,6,2,6.418442726135254,6.574155582246671,13.0,13.601470508735444,0.5062736364511343,0.5166584688012618
lags_meteo,xgboost_direct,7,2,2.5788583755493164,2.738718738019509,13.5,13.729530217745982,0.8089734536630135,0.800523492458642
lags_meteo,xgboost_direct,8,2,3.91873550415039,3.919302749296585,17.5,17.67766952966369,0.7760722569056919,0.7782907558759444
lags_meteo,xgboost_direct,9,2,2.458146095275879,2.696155041026627,17.0,17.26267650163207,0.8554031708661247,0.8438159319748751
lags_meteo,xgboost_direct,10,2,8.850151062011719,10.295060063837727,20.0,20.024984394500787,0.557492446899414,0.4858892341177089
lags_meteo,xgboost_direct,11,2,11.77696418762207,12.41762143951398,18.5,19.300259065618786,0.3634073412096178,0.3566085617143574
lags_meteo,xgboost_direct,12,2,11.93591594696045,12.341457065380872,20.0,20.396078054371134,0.4032042026519775,0.3949102845909171
lags_meteo,xgboost_direct,13,2,7.59592342376709,9.64615454273789,14.5,16.32482771731451,0.4761432121539938,0.4091114032090553
lags_meteo,xgboost_direct,14,2,8.016473770141602,10.47255356076237,15.5,17.219175357722563,0.4828081438618321,0.3918086468603403
lags_meteo,xgboost_direct,15,2,10.690346717834473,12.692570973164267,15.0,18.027756377319943,0.2873102188110351,0.2959428390583133
lags_meteo,xgboost_direct,16,2,9.830477714538574,13.57214882399034,18.0,20.591260281974,0.4538623491923014,0.3408781862724708
lags_meteo,xgboost_direct,17,2,11.668737411499023,11.95027377063013,21.5,21.64486082191336,0.4572680273721384,0.4478932496284931
lags_meteo,xgboost_direct,18,2,10.64235782623291,11.294907652348757,21.0,21.587033144922906,0.4932210558936709,0.4767735067379915
lags_meteo,xgboost_direct,19,2,8.327375411987305,11.028950140759372,17.0,19.235384061671343,0.5101543875301586,0.426632184447214
lags_meteo,xgboost_direct,20,2,9.409290313720703,12.246322567363478,14.5,17.334935823359714,0.3510834266399515,0.2935467029038012
lags_meteo,xgboost_direct,21,2,6.196134567260742,8.44966079628664,11.5,14.300349646075093,0.4612056898034137,0.4091290768819939
lags_meteo,xgboost_direct,22,2,4.134034156799316,4.143573857254523,8.5,10.124228365658292,0.5136430403765511,0.5907269465286206
lags_meteo,xgboost_direct,23,2,4.736626625061035,5.586689848564763,10.5,11.423659658795865,0.5488927023751395,0.5109544563275583
lags_meteo,xgboost_direct,24,2,8.324564933776855,8.375637221954978,11.5,12.747548783981962,0.27612478836723,0.3429609594842693
lags_only,xgboost_direct,1,2,7.951386451721191,9.29215967216523,9.0,11.40175425099138,0.1165126164754232,0.1850236842846109
lags_only,xgboost_direct,2,2,10.543627738952637,10.559047840068306,9.0,10.816653826391969,-0.1715141932169597,0.0238156818604216
