condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
reference,persistence,1,354,3.632768361581921,5.081816482032989,3.632768361581921,5.081816482032989,,
reference,persistence,2,350,4.3342857142857145,6.1400325732035,4.3342857142857145,6.1400325732035,,
reference,persistence,3,353,4.356940509915014,6.077404396009415,4.356940509915014,6.077404396009415,,
reference,persistence,4,354,4.5423728813559325,6.555284235822988,4.5423728813559325,6.555284235822988,,
reference,persistence,5,355,5.149295774647888,7.172718266037197,5.149295774647888,7.172718266037197,,
reference,persistence,6,356,5.480337078651686,7.596754185657409,5.480337078651686,7.596754185657409,,
reference,persistence,7,356,5.581460674157303,7.956518068557433,5.581460674157303,7.956518068557433,,
reference,persistence,8,354,5.830508474576271,8.170845235617108,5.830508474576271,8.170845235617108,,
reference,persistence,9,354,7.0423728813559325,9.709480485558176,7.0423728813559325,9.709480485558176,,
reference,persistence,10,348,7.968390804597701,11.404904167964752,7.968390804597701,11.404904167964752,,
reference,persistence,11,348,8.100574712643677,12.229016746031245,8.100574712643677,12.229016746031245,,
reference,persistence,12,346,8.228323699421965,12.20122707749232,8.228323699421965,12.20122707749232,,
reference,persistence,13,346,7.76878612716763,11.385011950359411,7.76878612716763,11.385011950359411,,
reference,persistence,14,345,7.56231884057971,10.955377211902494,7.56231884057971,10.955377211902494,,
reference,persistence,15,344,8.19767441860465,12.52857199680274,8.19767441860465,12.52857199680274,,
reference,persistence,16,349,8.160458452722063,12.496188530655909,8.160458452722063,12.496188530655909,,
reference,persistence,17,350,8.222857142857142,12.895624950235753,8.222857142857142,12.895624950235753,,
reference,persistence,18,352,7.9147727272727275,13.08212694689,7.9147727272727275,13.08212694689,,
reference,persistence,19,352,7.349431818181818,12.180811101519845,7.349431818181818,12.180811101519845,,
reference,persistence,20,353,7.317280453257791,11.970099670386213,7.317280453257791,11.970099670386213,,
reference,persistence,21,354,7.019774011299435,11.87874234816175,7.019774011299435,11.87874234816175,,
reference,persistence,22,357,7.30532212885154,11.982947734784034,7.30532212885154,11.982947734784034,,
reference,persistence,23,357,7.453781512605042,12.42580219640123,7.453781512605042,12.42580219640123,,
reference,persistence,24,354,7.5875706214689265,12.674321207823954,7.5875706214689265,12.674321207823954,,
reference,sarima,1,354,3.6531312266088087,5.121552672074695,3.632768361581921,5.081816482032989,-0.0056053298752085645,-0.007819288670142699
reference,sarima,2,350,4.2620971426249845,6.110394558315176,4.3342857142857145,6.1400325732035,0.01665524066002344,0.004827012647729556
reference,sarima,3,353,4.063981759989098,5.7094211353481255,4.356940509915014,6.077404396009415,0.06723955703761264,0.06054941167036987
reference,sarima,4,354,4.180021305072644,5.942063233559279,4.5423728813559325,6.555284235822988,0.07977142910714197,0.09354605844741404
reference,sarima,5,355,4.453676152102984,6.194596009420586,5.149295774647888,7.172718266037197,0.13509024398437675,0.1363670257687407
reference,sarima,6,356,4.522742635591952,6.3645662932906095,5.480337078651686,7.596754185657409,0.17473276357215017,0.1621992580322208
reference,sarima,7,356,4.528889937729731,6.509631411795213,5.581460674157303,7.956518068557433,0.1885833830740895,0.1818492265454692
reference,sarima,8,354,4.7851867785684306,6.599232805401551,5.830508474576271,8.170845235617108,0.17928482576878657,0.192343923412577
reference,sarima,9,354,6.886944285111181,9.26864929876728,7.0423728813559325,9.709480485558176,0.02207048659071087,0.0454021394292502
