station,horizon,dm_hln_stat,p_raw,p_fdr_station,p_fdr_global,p_bonf_global,significance_marker,status
Madrid,1,1.169017,0.2432,0.4864,0.6027,1.0000,,OK
Madrid,6,-0.049554,0.9605,0.9605,0.9605,1.0000,,OK
Madrid,12,2.385761,0.0176,0.0703,0.1582,0.6330,,OK
Madrid,24,0.833644,0.4050,0.5401,0.6027,1.0000,,OK
Birr co offlay,1,2.681823,0.0079,0.0316,0.1120,0.2846,*,OK
Birr co offlay,6,-0.517154,0.6056,0.6056,0.7786,1.0000,,OK
Birr co offlay,12,0.879233,0.3803,0.6056,0.6027,1.0000,,OK
Birr co offlay,24,0.705030,0.4816,0.6056,0.6668,1.0000,,OK
Dublin Airport,1,1.636299,0.1040,0.4131,0.5347,1.0000,,OK
Dublin Airport,6,-0.279169,0.7805,0.7805,0.8781,1.0000,,OK
Dublin Airport,12,-0.384473,0.7012,0.7805,0.8414,1.0000,,OK
Dublin Airport,24,1.268872,0.2065,0.4131,0.6027,1.0000,,OK
Dundalk Co Louth,1,1.116832,0.2659,0.3249,0.6027,1.0000,,OK
Dundalk Co Louth,6,0.987703,0.3249,0.3249,0.6027,1.0000,,OK
Dundalk Co Louth,12,1.068475,0.2870,0.3249,0.6027,1.0000,,OK
Dundalk Co Louth,24,1.114722,0.2667,0.3249,0.6027,1.0000,,OK
Pearse street dublin,1,1.846522,0.0662,0.0883,0.4768,1.0000,,OK
Pearse street dublin,6,2.910300,0.0040,0.0160,0.1120,0.1439,*,OK
Pearse street dublin,12,2.623699,0.0093,0.0187,0.1120,0.3360,*,OK
Pearse street dublin,24,0.810518,0.4186,0.4186,0.6027,1.0000,,OK
Ringsend dublin,1,1.233260,0.2189,0.8261,0.6027,1.0000,,OK
Ringsend dublin,6,-0.190211,0.8493,0.9380,0.8993,1.0000,,OK
Ringsend dublin,12,0.820191,0.4130,0.8261,0.6027,1.0000,,OK
Ringsend dublin,24,0.077938,0.9380,0.9380,0.9605,1.0000,,OK
edenderry co offlay,1,0.339187,0.7348,0.8428,0.8533,1.0000,,OK
edenderry co offlay,6,-1.233878,0.2186,0.8428,0.6027,1.0000,,OK
edenderry co offlay,12,0.198507,0.8428,0.8428,0.8993,1.0000,,OK
edenderry co offlay,24,0.591639,0.5547,0.8428,0.7396,1.0000,,OK
henry street Limerick,1,0.917485,0.3599,0.4858,0.6027,1.0000,,OK
henry street Limerick,6,-1.320384,0.1881,0.4858,0.6027,1.0000,,OK
henry street Limerick,12,0.405934,0.6852,0.6852,0.8414,1.0000,,OK
henry street Limerick,24,0.909077,0.3644,0.4858,0.6027,1.0000,,OK
porrlaoise co laois,1,1.221015,0.2234,0.3662,0.6027,1.0000,,OK
porrlaoise co laois,6,-1.050301,0.2948,0.3662,0.6027,1.0000,,OK
porrlaoise co laois,12,1.735359,0.0841,0.3365,0.5048,1.0000,,OK
porrlaoise co laois,24,0.905520,0.3662,0.3662,0.6027,1.0000,,OK
